Method,M,efConstruction,efSearch,k,Recall@k,QPS,Total Time (s)
DARTH,8,64,20,10,0.798,11223.752695106376,0.008909675998438615
DARTH,8,64,20,10,0.798,13661.439203520897,0.007319873002415989
DARTH,8,64,20,20,0.7665,12812.096262151148,0.0078051239979686216
DARTH,8,64,20,20,0.7665,11321.43058373145,0.008832806001009885
DARTH,8,64,50,10,0.871,6313.554607770665,0.015838938001252245
DARTH,8,64,50,10,0.871,6367.840066364667,0.01570391199493315
DARTH,8,64,50,20,0.858,6181.856240170427,0.01617637099843705
DARTH,8,64,50,20,0.858,6797.591451381232,0.014711092997458763
DARTH,8,64,100,10,0.9,3829.0013917361507,0.026116470005945303
DARTH,8,64,100,10,0.9,1718.3805265622607,0.05819432800490176
DARTH,8,64,100,20,0.8935,2767.9534653179066,0.03612777499802178
DARTH,8,64,100,20,0.8935,2797.287850676788,0.035748912996496074
DARTH,8,128,20,10,0.857,9197.394855277693,0.010872644001210574
DARTH,8,128,20,10,0.857,4022.3378119980707,0.02486116399813909
DARTH,8,128,20,20,0.831,10130.820297195523,0.009870868998405058
DARTH,8,128,20,20,0.831,4446.343922423208,0.02249038800073322
DARTH,8,128,50,10,0.916,5003.2017994912385,0.019987200998002663
DARTH,8,128,50,10,0.916,4835.870085593082,0.020678802000475116
DARTH,8,128,50,20,0.905,3586.61468235501,0.027881444999366067
DARTH,8,128,50,20,0.905,4626.716084693139,0.021613601995341014
DARTH,8,128,100,10,0.928,2269.9726096336885,0.0440533949949895
DARTH,8,128,100,10,0.928,2276.759051107726,0.04392208299395861
DARTH,8,128,100,20,0.926,2415.3934180595475,0.04140112300228793
DARTH,8,128,100,20,0.926,2522.063452539527,0.039650072998483665
DARTH,16,64,20,10,0.865,3537.5814968982017,0.028267900001083035
DARTH,16,64,20,10,0.865,3913.0308545156845,0.025555637999786995
DARTH,16,64,20,20,0.8555,4655.255083799457,0.021481100004166365
DARTH,16,64,20,20,0.8555,8456.49799848292,0.01182522599992808
DARTH,16,64,50,10,0.923,3143.0824474185138,0.03181590100575704
DARTH,16,64,50,10,0.923,2894.748200619853,0.03454531899478752
DARTH,16,64,50,20,0.922,4561.288020743351,0.021923631997196935
DARTH,16,64,50,20,0.922,2292.4768038528614,0.04362094300449826
DARTH,16,64,100,10,0.943,1947.369572228439,0.051351320995308924
DARTH,16,64,100,10,0.943,2543.3160418601033,0.03931874700356275
DARTH,16,64,100,20,0.9405,2173.0604953310926,0.04601804699632339
DARTH,16,64,100,20,0.9405,1800.8069127381211,0.055530662000819575
DARTH,16,128,20,10,0.892,3810.1945491639785,0.02624537899828283
DARTH,16,128,20,10,0.892,9559.62077805713,0.010460665995196905
DARTH,16,128,20,20,0.884,8782.626908439452,0.01138611500209663
DARTH,16,128,20,20,0.884,8883.030034751164,0.011257420002948493
DARTH,16,128,50,10,0.944,4436.149829919451,0.022542070000781678
DARTH,16,128,50,10,0.944,4094.787785619805,0.024421289999736473
DARTH,16,128,50,20,0.9395,4346.187006651446,0.023008674004813656
DARTH,16,128,50,20,0.9395,2929.3465629613506,0.03413730600004783
DARTH,16,128,100,10,0.953,2015.8288121717494,0.04960738699446665
DARTH,16,128,100,10,0.953,2567.47418408308,0.03894878500432242
DARTH,16,128,100,20,0.9505,1970.2086717463487,0.050756044998706784
DARTH,16,128,100,20,0.9505,2573.82886507185,0.03885262200492434
HNSW NEW,8,64,20,10,0.955,25209.230312573836,0.003966800999478437
HNSW NEW,8,64,20,20,0.921,5282.282816534013,0.018931209000584204
HNSW NEW,8,64,50,10,0.992,12233.741793197662,0.008174113994755317
HNSW NEW,8,64,50,20,0.9845,12249.088151603968,0.008163872997101862
HNSW NEW,8,64,100,10,0.998,3344.157591527578,0.029902896996645723
HNSW NEW,8,64,100,20,0.9965,5523.964920673059,0.01810293900052784
HNSW NEW,8,128,20,10,0.948,6145.9294405635055,0.016270931999315508
HNSW NEW,8,128,20,20,0.9165,7417.18545479008,0.013482203001331072
HNSW NEW,8,128,50,10,0.993,2843.0298943911644,0.03517374199873302
HNSW NEW,8,128,50,20,0.99,5125.685656702773,0.019509584999468643
HNSW NEW,8,128,100,10,0.998,1776.862906781414,0.056278961994394194
HNSW NEW,8,128,100,20,0.9985,2448.0850515311427,0.04084825400059344
HNSW NEW,16,64,20,10,0.979,6742.8796386564545,0.014830458996584639
HNSW NEW,16,64,20,20,0.9595,10415.09898217458,0.009601444995496422
HNSW NEW,16,64,50,10,0.997,6908.088231781993,0.014475784999376629
HNSW NEW,16,64,50,20,0.996,3599.9704228117357,0.027778005998698063
HNSW NEW,16,64,100,10,0.998,4923.238344801428,0.02031183399958536
HNSW NEW,16,64,100,20,0.9985,3003.6397205336816,0.03329294099967228
HNSW NEW,16,128,20,10,0.976,3971.5041400252244,0.025179377000313252
HNSW NEW,16,128,20,20,0.961,6208.680843083047,0.016106480994494632
HNSW NEW,16,128,50,10,0.997,1648.7494318298598,0.06065202999889152
HNSW NEW,16,128,50,20,0.9955,4669.822315604641,0.021414090995676816
HNSW NEW,16,128,100,10,0.998,793.0197702146512,0.12610026099719107
HNSW NEW,16,128,100,20,0.999,1863.2089730787407,0.053670845001761336
faiss-hnsw,8,64,20,10,0.945,32111.016787084714,0.0031141959989327006
faiss-hnsw,8,64,20,20,0.9145,21842.039663335578,0.004578327003400773
faiss-hnsw,8,64,50,10,0.991,8078.305926238452,0.012378833002003375
faiss-hnsw,8,64,50,20,0.9855,9591.724413785214,0.010425653999845963
faiss-hnsw,8,64,100,10,1.0,8577.846272862276,0.011657937997370027
faiss-hnsw,8,64,100,20,0.997,5008.366476206704,0.019966589999967255
faiss-hnsw,8,128,20,10,0.951,41128.12808840173,0.002431426000839565
faiss-hnsw,8,128,20,20,0.929,37204.34642112116,0.002687857995624654
faiss-hnsw,8,128,50,10,0.994,15654.217127289552,0.006388055000570603
faiss-hnsw,8,128,50,20,0.9915,10706.07530957025,0.009340490993054118
faiss-hnsw,8,128,100,10,1.0,5162.122657021673,0.019371875998331234
faiss-hnsw,8,128,100,20,0.9995,7467.160178720668,0.013391971995588392
faiss-hnsw,16,64,20,10,0.954,35416.40842894572,0.002823549999448005
faiss-hnsw,16,64,20,20,0.942,19328.377513853662,0.005173740006284788
faiss-hnsw,16,64,50,10,0.993,14205.600783493634,0.007039477000944316
faiss-hnsw,16,64,50,20,0.9925,16309.049968450992,0.006131565001851413
faiss-hnsw,16,64,100,10,0.998,3655.8069459240437,0.027353741999831982
faiss-hnsw,16,64,100,20,0.999,6784.420688591699,0.014739652004209347
faiss-hnsw,16,128,20,10,0.976,20404.65283370816,0.004900842999632005
faiss-hnsw,16,128,20,20,0.962,27963.29090871292,0.003576117000193335
faiss-hnsw,16,128,50,10,0.994,5492.345674353459,0.018207157001597807
faiss-hnsw,16,128,50,20,0.996,11132.68873710718,0.008982555998954922
faiss-hnsw,16,128,100,10,1.0,7621.663663667281,0.01312049500120338
faiss-hnsw,16,128,100,20,1.0,3781.922545824157,0.026441578003868926
hnswlib,8,64,20,10,0.934,73451.53141730405,0.0013614420022349805
hnswlib,8,64,20,20,0.9025,81473.09883026527,0.001227398999617435
hnswlib,8,64,50,10,0.99,11112.334695849833,0.008999009005492553
hnswlib,8,64,50,20,0.9775,31261.175937754848,0.0031988559931050986
hnswlib,8,64,100,10,0.995,13731.883862407294,0.007282322003447916
hnswlib,8,64,100,20,0.993,17424.152645968818,0.0057391600057599135
hnswlib,8,128,20,10,0.942,19350.418085903482,0.00516784699721029
hnswlib,8,128,20,20,0.907,72297.64098218356,0.001383170994813554
hnswlib,8,128,50,10,0.992,47992.49787181821,0.0020836589974351227
hnswlib,8,128,50,20,0.9845,46502.15448044024,0.0021504379983525723
hnswlib,8,128,100,10,0.997,26949.20210489381,0.003710684999532532
hnswlib,8,128,100,20,0.9965,28921.53616966344,0.0034576309990370646
hnswlib,16,64,20,10,0.954,27222.136182926417,0.0036734809982590377
hnswlib,16,64,20,20,0.9345,17827.476028117522,0.005609318999631796
hnswlib,16,64,50,10,0.985,40758.515906249086,0.0024534750045859255
hnswlib,16,64,50,20,0.981,40275.597802379736,0.002482893003616482
hnswlib,16,64,100,10,0.987,13621.272511187448,0.00734145799651742
hnswlib,16,64,100,20,0.9885,23944.135459221736,0.004176387999905273
hnswlib,16,128,20,10,0.98,62950.6873895031,0.0015885450047790073
hnswlib,16,128,20,20,0.9595,64990.4756460926,0.0015386869999929331
hnswlib,16,128,50,10,0.996,26326.403207113603,0.003798467994784005
hnswlib,16,128,50,20,0.9955,35192.39500892246,0.0028415230044629425
hnswlib,16,128,100,10,0.998,10619.814874694534,0.009416360000614077
hnswlib,16,128,100,20,0.998,21024.405767316824,0.0047563769985572435
