qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
1,9,204,11,53232.0,48699.0,62750.0,57265.0,20990126.2,53232.0,59189.5,60868.75,0.7
6,9,196,11,100071.0,75136.0,100071.0,83621.4,60217164.839999996,77896.25,81631.0,86210.0,0.7
6,11,221,13,100071.0,75136.0,86362.0,80547.1,15260014.290000001,77896.25,79799.5,84062.5,0.9
7,9,232,11,81700.0,54740.0,81700.0,62856.4,59880426.64,57552.5,61270.5,65991.5,0.9
8,9,206,11,84665.0,61037.0,84665.0,71074.4,42381246.04,68557.5,72034.5,73518.5,0.7
10,9,194,11,86994.0,68491.0,86994.0,75209.0,36263001.0,70596.0,73323.0,77809.5,0.6
10,11,230,13,86994.0,68491.0,81723.0,73972.9,16634120.89,70596.0,73323.0,77058.75,0.6
10,13,253,15,86994.0,68491.0,77627.0,71884.6,7869722.239999999,70025.0,70784.5,73398.0,0.8
11,9,221,11,100185.0,69551.0,100185.0,84662.9,65778375.69000001,80180.75,86524.0,88430.25,0.5
11,11,253,13,100185.0,62764.0,88558.0,80380.0,69026298.4,75880.0,84026.0,87072.0,0.7
11,13,278,15,100185.0,62764.0,87620.0,79446.9,57813793.089999996,75880.0,83456.5,84280.25,0.9
12,9,212,11,71455.0,67820.0,73725.0,71562.7,2858396.01,70707.25,71743.5,72726.25,0.8
13,9,184,11,74949.0,56560.0,74949.0,65772.5,23163902.45,63540.0,65500.5,67064.0,0.5
13,11,226,13,74949.0,56560.0,67068.0,63284.2,10356196.56,61320.25,64062.0,65693.75,0.7
14,9,129,11,55502.0,53970.0,58903.0,56442.3,1891046.2100000002,55544.25,56213.0,57446.75,0.7
14,11,149,13,55502.0,53825.0,57698.0,55827.4,1361086.84,55502.0,55886.5,56600.75,0.9
15,9,245,11,87926.0,78432.0,97735.0,89929.9,30647419.689999998,87926.0,90172.5,92783.0,0.9
16,9,218,11,89647.0,77124.0,94125.0,88975.0,24332722.4,86572.75,90175.5,92641.25,0.8
17,9,191,11,163602.0,92082.0,163602.0,116789.2,394658174.15999997,103933.0,111629.5,118067.0,0.6
17,11,211,13,163602.0,92082.0,118382.0,108392.6,60872493.239999995,103101.75,109454.0,114903.5,0.8
18,9,159,11,85003.0,48166.0,85003.0,58907.8,144448938.75999996,51386.25,55082.5,56830.5,0.8
18,11,188,13,85003.0,48166.0,57144.0,53516.1,9011145.49,51386.25,53696.5,56205.5,1.0
19,9,208,11,67691.0,40818.0,73394.0,64793.7,88269801.01,61446.0,67691.0,71623.25,0.3
19,11,240,13,67691.0,40818.0,71927.0,60689.2,90368633.35999998,53569.0,63021.0,67691.0,0.5
19,13,274,15,67691.0,40818.0,67691.0,58476.8,62844685.760000005,53569.0,59964.5,64742.5,0.7
19,15,309,17,67691.0,40818.0,66171.0,57527.2,49574376.96,53569.0,59964.5,60998.5,0.8
20,9,258,11,67154.0,49445.0,67154.0,61209.3,20945588.61,61049.5,62102.0,63483.5,0.9
21,9,199,11,105778.0,76608.0,107687.0,95803.0,149683277.6,84013.0,100862.0,105778.0,0.4
21,11,235,13,105778.0,76608.0,105778.0,90498.5,140821759.05,79889.0,88970.5,101364.0,0.6
21,13,254,15,105778.0,76608.0,101866.0,87598.2,91810603.76000002,79889.0,83403.5,96894.75,0.8
21,15,296,17,105778.0,76608.0,98494.0,87076.9,78878553.89,79889.0,83403.5,96894.75,0.9
22,9,227,11,93237.0,83833.0,93237.0,89021.0,10815860.0,85774.25,90162.0,91715.5,0.7
22,11,260,13,93237.0,77148.0,91954.0,87047.9,17953544.09,84881.75,88090.5,90196.5,0.9
24,9,201,11,90664.0,59081.0,90664.0,67658.9,67075258.49000001,64198.25,66196.5,67829.0,0.8
25,9,199,11,158836.0,103378.0,158836.0,125964.1,272968800.69,119481.5,120045.5,132674.25,0.6
25,11,225,13,158836.0,103378.0,134205.0,120659.7,83390869.41,119481.5,120045.5,127635.5,0.6
26,9,214,11,143834.0,99045.0,143834.0,111947.3,183396366.60999998,103021.0,107286.0,114869.25,0.7
26,11,255,13,143834.0,99045.0,117729.0,107171.5,36040754.85,103021.0,106308.0,109346.75,0.8
27,9,231,11,61141.0,56508.0,75819.0,69164.5,44327042.45,63216.25,71576.0,74527.25,0.5
27,11,257,13,61141.0,56508.0,74712.0,68128.5,34896747.25,63216.25,70608.0,71926.5,0.7
27,13,287,15,61141.0,56508.0,73595.0,67692.0,30618593.2,63216.25,70608.0,70837.5,0.9
28,9,195,11,69909.0,69909.0,76230.0,72774.7,4551330.61,71548.25,72332.5,74277.0,0.9
29,9,169,11,66193.0,59494.0,72980.0,67602.8,15180911.360000003,66193.0,66530.5,70837.0,0.6
30,9,221,11,115791.0,96473.0,115791.0,104031.7,30337067.209999997,100608.25,102703.5,106252.0,0.6
31,9,188,11,102918.0,74981.0,102918.0,82813.1,61965517.089999996,76210.75,82470.0,85516.25,0.6
31,11,210,13,102918.0,60672.0,86274.0,76129.7,68835869.41,75075.75,77019.5,82841.0,0.8
33,9,200,11,121689.0,93091.0,121689.0,104558.3,53243290.809999995,100375.5,104175.5,107324.0,0.7
33,11,247,13,121689.0,92372.0,107960.0,101233.8,25783578.360000003,98167.25,103244.5,104953.25,0.9
34,9,192,11,43681.0,43681.0,58583.0,54349.6,31009623.839999992,53652.0,56953.5,58188.5,0.6
35,9,170,11,57847.0,37060.0,57847.0,45405.6,33484229.040000003,42486.75,43337.5,45910.75,0.8
35,11,194,13,57847.0,37060.0,51652.0,44310.2,14928953.16,42486.75,43337.5,45910.75,1.0
36,9,160,11,66681.0,42740.0,66681.0,56146.0,51350484.4,50111.5,59778.0,60979.25,0.9
