qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
0,9,139,11,1.4546500331046084,1.3430952428081082,1.4553598997322572,1.4144145493256102,0.0015890279699913002,1.3945609728081716,1.4239347687684716,1.452050486898056,0.2
1,9,138,11,1.485844975702045,1.0869856862442768,1.485844975702045,1.2541947231450834,0.00997276062603847,1.2069743669324344,1.2274844986400906,1.3004446552762263,0.8
2,9,142,11,1.6910357577806003,1.3541417596689604,1.6910357577806003,1.5193487663784029,0.008488600142928255,1.4734442097522447,1.5145854357484048,1.5669993193047898,0.1
2,14,216,16,1.6910357577806003,1.2648189940888814,1.5128650706178863,1.4031550486516107,0.005181718446245759,1.3623985747207237,1.3898217884244077,1.4477447418324512,0.3
2,19,284,21,1.6910357577806003,1.2648189940888814,1.3889407053592908,1.3531497580800462,0.0014101671227097277,1.351221908270142,1.3629376001459739,1.3792009997051973,0.6
3,9,135,11,1.7828039314526902,0.957999800219936,1.7828039314526902,1.3290060315657477,0.05171984487421381,1.2135965366788417,1.2680140683195722,1.45495668552989,0.6
4,9,113,11,1.6519863942886137,1.0960607264296671,1.6519863942886137,1.2309894366041212,0.03427554671347361,1.1285392707506736,1.133717662990817,1.2359540189287255,0.7
5,9,135,11,1.7514648542278575,1.2880250485526767,1.7514648542278575,1.5601387090764274,0.021716806687988525,1.4260971650968954,1.6230477040788842,1.655893596517957,0.1
5,14,205,16,1.7514648542278575,1.2481364964464012,1.6136581051457144,1.3804366882536496,0.012190664244599787,1.2988087858888906,1.3807666587931,1.3894739225362844,0.4
5,19,274,21,1.7514648542278575,1.2118337106592456,1.3787058640837668,1.2785618561377974,0.0027947974455898817,1.2317103874120214,1.2709827187858291,1.320048986682357,0.9
6,9,97,11,1.8267693175276378,1.6403790001110226,1.8267693175276378,1.7340537592662977,0.005208993276525748,1.658043631032889,1.7680713155614354,1.777966267133538,0.0
6,14,169,16,1.8267693175276378,1.3843544892687196,1.7627696767221885,1.6216150426752598,0.009937836325686965,1.6404995933098807,1.6526943745715554,1.6604276057203904,0.1
6,19,237,21,1.8267693175276378,1.3355372948276547,1.647674300921756,1.521801749822602,0.011120683162792775,1.4400973045288656,1.5454171382446653,1.62037627160311,0.3
6,24,310,26,1.8267693175276378,1.3355372948276547,1.5520526826443923,1.4507589178353115,0.004108185369325098,1.4151065622487256,1.4409849526447664,1.4943520801848613,0.4
6,29,381,31,1.8267693175276378,1.3355372948276547,1.4631081446338725,1.4063939380377783,0.001342625350877111,1.3816803376558995,1.4134646964741164,1.4339584284371443,0.7
7,9,136,11,1.6401874037544333,1.2040166635771565,1.6401874037544333,1.3445901757838614,0.017802302693745865,1.2636184334857394,1.2931380504580634,1.3950381372757825,0.5
7,14,198,16,1.6401874037544333,1.1372051190317851,1.3205333098398933,1.2585316446849135,0.002786860729804425,1.2334567018678873,1.273599399434644,1.2951556385901997,0.7
8,9,135,11,1.7162986069356811,1.2689133858704145,1.7162986069356811,1.5021833699324252,0.014640567240499008,1.4736978712892759,1.528767784011332,1.5561603861777273,0.2
8,14,197,16,1.7162986069356811,1.2689133858704145,1.5112001515750721,1.3848930511185344,0.0071765399516272674,1.3179366466060036,1.3851358791389452,1.4529535321542113,0.5
8,19,264,21,1.7162986069356811,1.2689133858704145,1.3992673376063773,1.340284712390234,0.0020589490469914385,1.3176344574759116,1.3326602133656786,1.385745229844088,0.7
9,9,141,11,1.6407624795448816,0.884490214524329,1.6407624795448816,1.3515257755633274,0.06451942293251947,1.2300246872648866,1.4349050428559702,1.5208919056707835,0.3
9,14,211,16,1.6407624795448816,0.884490214524329,1.379111611512276,1.1745779800660103,0.02145681695090103,1.148694307722815,1.1969590432738322,1.2605614734682498,0.8
10,9,97,11,1.4448262528174949,0.0,1.4448262528174949,0.336251161114304,0.16076988707497575,0.04083310426918429,0.31981944103058885,0.3596321878713622,0.9
13,9,120,11,1.1606194257094558,0.5863206819162242,1.1983577490747268,1.049519204593077,0.03133113665574444,1.0050704279190124,1.117955400888584,1.1631404314062888,0.5
13,14,176,16,1.1606194257094558,0.5863206819162242,1.0752913760677123,0.9736820790434015,0.019500013174780804,0.9470792469356255,1.01456411761191,1.0663822632912685,1.0
14,9,124,11,1.4674412744909338,0.0,1.4674412744909338,0.8480029295675837,0.29630072484382,0.557361242378712,0.8659284980284244,1.3927438343616445,0.5
14,14,167,16,1.4674412744909338,0.0,0.7559529089923885,0.5272258161257116,0.06887147354261472,0.557361242378712,0.6069235383201453,0.7084338667965238,1.0
15,9,108,11,0.7359005716277706,0.0,0.7359005716277706,0.5621278043789408,0.04537650565013351,0.5312830402309795,0.6326524755848008,0.7095128900750647,0.9
16,9,97,11,1.4275101604458058,1.2096562228327344e-13,1.4275101604458058,0.3329461728428914,0.1570066054405592,0.04043185588756921,0.3067078962731419,0.37359014149689046,0.9
17,9,134,11,1.3943389313267551,1.1587225971485853,1.3943389313267551,1.2888628636735684,0.005737578429363867,1.2293177482314865,1.2984363817492746,1.3351525217748403,0.6
17,14,197,16,1.3943389313267551,1.1587225971485853,1.315985565850443,1.2648458590170402,0.002922268259889683,1.2252107335333564,1.29579567783854,1.300889176129497,1.0
18,9,122,11,1.4983790392470975,0.9811093261232335,1.4983790392470975,1.1512758232338431,0.02526732638402169,1.0663625572036768,1.0876339555748407,1.1971349732554497,0.7
19,9,97,11,1.4550118507540213,0.0,1.4550118507540213,0.3559953107982479,0.1633993609567123,0.0457713025048106,0.34749676438891086,0.3908313452222778,0.9
20,9,141,11,1.6441061039608469,0.5512020982218201,1.6441061039608469,1.361197824139881,0.10830167443594596,1.23920210123429,1.462057305035982,1.6336053540031161,0.2
20,14,210,16,1.6441061039608469,0.5512020982218201,1.4490950533696128,1.151275640872409,0.049284406589174615,1.110309287407042,1.2127949997269938,1.2373845215443158,0.4
20,19,265,21,1.6441061039608469,0.5512020982218201,1.2139187028206067,1.10176371706412,0.035976088616367294,1.09421623985283,1.1794480131886644,1.2043493232755582,0.7
21,9,129,11,1.5938586952086902,1.2993881563487113,1.5938586952086902,1.471936741061508,0.008460318036033282,1.4190643700079348,1.4951957862794694,1.5360369846054058,0.1
21,14,195,16,1.5938586952086902,1.2993881563487113,1.4847128730188954,1.3818614256497868,0.004165461302976882,1.3340667062601106,1.3769052184434498,1.4180969378723463,0.2
22,9,143,11,1.452618875873593,0.7320714280540441,1.452618875873593,1.1093984834217234,0.04499165451521062,1.0194832841951413,1.1148060467907877,1.1466665641853067,0.7
23,9,139,11,1.7239335412142918,1.188297969679104,1.7352730788357031,1.5253546063065744,0.0443561039534327,1.3737554706953783,1.620802090125307,1.7158660355246198,0.2
23,14,205,16,1.7239335412142918,1.188297969679104,1.5569759348804686,1.2954085023488688,0.011610861375189106,1.2186926141097287,1.2658159263516615,1.349981657590158,0.7
24,9,139,11,1.2879340093785712,0.8279801724436084,1.434634132557638,1.2280764258372867,0.0366132032582598,1.1791138959900476,1.2828631649505302,1.384757215729194,0.2
24,14,200,16,1.2879340093785712,0.7817004979472684,1.2777923205224893,0.9885147445495797,0.026047797567853304,0.8799852022426975,0.9493169051681697,1.1153921123787471,0.7
25,9,125,11,1.6316261347448275,0.7549242901170753,1.6524264525079042,1.2387076226335316,0.0927781812753682,1.0011777234465382,1.2216354873380344,1.5484463839183533,0.5
25,14,183,16,1.6316261347448275,0.7549242901170753,1.15557781159762,1.054474694989651,0.015863977156298822,1.0011777234465382,1.1051960431959849,1.150348729207858,0.7
26,9,140,11,1.446592187491784,0.7810769807651838,1.446592187491784,1.050299810954146,0.03550781741076812,0.9161042565140183,1.0948129154688742,1.1382487794740577,0.4
26,14,195,16,1.446592187491784,0.7810769807651838,1.0937153218409603,0.9213827179889996,0.007127774736794395,0.8827189809374065,0.9183303961712628,0.9728521550170124,0.9
27,9,146,11,1.349629592894999,1.2216250238808049,1.4302718502437939,1.357441132147073,0.0029656647334367183,1.3474011366074983,1.364805162736665,1.3914622225648359,0.1
27,14,219,16,1.349629592894999,1.1880139379801309,1.349629592894999,1.2971615583586553,0.002934515453499131,1.2700662301181849,1.3181163847751975,1.3441639042658946,0.2
