qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
0,9,252,11,101500.0,28120.0,101500.0,74298.5,302526449.45,74017.75,76959.5,79841.75,0.8
1,9,244,11,66220.0,35462.0,66220.0,56774.8,63620004.76000001,55906.5,58358.0,61175.25,0.9
2,9,238,11,62070.0,25222.0,62070.0,54394.5,108151055.85,52832.25,57892.0,60955.0,0.7
3,9,233,11,65748.0,54898.0,65748.0,62722.0,10248475.0,61214.75,64031.0,64794.0,0.3
3,14,327,16,65748.0,28462.0,64395.0,56390.3,111062052.00999999,56176.25,60760.0,62314.0,0.7
5,9,262,11,51838.0,38401.0,51838.0,43687.7,14081007.209999999,40703.25,43820.5,45516.25,0.8
6,9,264,11,60268.0,44615.0,60268.0,51265.4,19293973.04,48703.5,51698.5,53608.75,0.4
6,14,385,16,60268.0,44615.0,53475.0,50236.8,9512243.36,48703.5,50725.0,53228.75,0.4
8,9,233,11,61391.0,11077.0,62721.0,50682.9,210090361.89000002,48282.25,54453.5,60750.0,0.5
8,14,328,16,61391.0,11077.0,56126.0,47873.7,163162401.41000003,48282.25,52421.0,54331.25,1.0
9,9,226,11,65318.0,41927.0,65318.0,50580.9,32948527.090000004,48404.75,49288.0,52275.75,0.9
10,9,266,11,68213.0,42150.0,68213.0,52065.0,48787719.6,46720.0,52127.0,54869.75,0.8
11,9,265,11,57787.0,38889.0,57787.0,45632.4,34973485.04,41039.0,44199.5,48630.75,0.7
12,9,238,11,40747.0,34043.0,42083.0,38749.7,7887215.209999999,36302.5,39924.5,40747.0,0.6
13,9,253,11,50227.0,25341.0,50227.0,36967.5,38050674.05,34313.75,36201.0,39448.75,0.8
15,9,248,11,75050.0,52752.0,75050.0,66994.8,41447761.36,63943.25,67784.5,71950.75,0.4
16,9,236,11,96214.0,39831.0,96214.0,52165.0,274481628.2,42878.0,45842.5,49355.5,0.5
17,9,255,11,40255.0,13282.0,40255.0,33813.2,98114883.96000001,35217.5,38596.5,39857.5,0.6
18,9,227,11,39553.0,34142.0,41510.0,37924.6,6426295.44,36258.5,38208.5,39890.5,0.5
19,9,247,11,65126.0,22112.0,70067.0,60905.0,185578243.2,65126.0,65479.0,66833.0,0.6
20,9,219,11,67763.0,44996.0,69502.0,64491.1,49650707.690000005,63333.75,67763.0,68576.75,0.6
21,9,269,11,70058.0,47151.0,70058.0,57622.6,32866226.639999997,54753.75,57130.5,60558.5,0.5
22,9,279,11,62607.0,52631.0,65701.0,58887.2,16836315.759999998,55398.75,59676.0,62239.25,0.6
23,9,268,11,69587.0,47566.0,69587.0,58053.1,31980113.290000003,56332.25,58965.5,60309.75,0.3
23,14,399,16,69587.0,45011.0,59989.0,53825.0,26663145.4,48982.0,55552.0,58339.25,0.6
24,9,271,11,75335.0,44730.0,75335.0,61325.5,111382771.65,50444.25,65044.5,69693.0,0.8
25,9,283,11,88489.0,66141.0,88489.0,73162.7,60795837.00999999,68923.5,70237.5,71212.0,0.6
26,9,241,11,83935.0,37695.0,83935.0,60240.4,129878763.44000003,55960.25,58422.0,65872.0,0.6
26,14,355,16,83935.0,37695.0,61528.0,54348.8,41244078.56,51970.0,56291.5,58593.0,0.9
27,9,243,11,83116.0,11807.0,83116.0,54368.6,278255957.64,52883.25,55455.5,57845.75,0.8
29,9,250,11,62151.0,35403.0,62151.0,44394.8,50744152.75999999,40123.5,42527.5,44879.0,0.8
30,9,265,11,88489.0,61082.0,88489.0,70907.8,67144777.96,66240.5,68549.5,74357.75,0.2
31,9,256,11,86622.0,55251.0,86622.0,70122.2,80477262.76,65005.0,71132.0,75462.0,0.4
31,14,377,16,86622.0,51023.0,68799.0,62430.5,35464528.65,57902.5,64851.0,67685.25,0.9
32,9,279,11,74548.0,47052.0,74548.0,57662.0,79539062.4,51248.5,53081.5,62659.75,0.4
33,9,224,11,56168.0,52525.0,58646.0,55962.4,4723937.239999999,54485.5,56168.0,57913.5,0.0
33,14,354,16,56168.0,46295.0,56168.0,51235.6,10807999.440000001,48553.0,51533.0,54030.0,0.5
33,19,487,21,56168.0,46295.0,52143.0,49233.6,3714251.84,47920.5,49508.0,50521.0,0.9
