qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
0,4,150,6,69789.0,54653.0,69789.0,63804.33203125,28478492.0,60929.75,64239.0,68619.25,0.0
1,4,107,6,51226.0,48518.0,52688.0,51196.33203125,1672623.25,51226.0,51493.0,51760.0,0.0
2,4,128,6,48778.0,46232.0,51994.0,49020.5,3164524.5,48284.5,48778.0,49860.25,0.0
3,4,131,6,35567.0,28301.0,35567.0,31271.666015625,9519489.0,28898.25,29766.5,34156.75,0.4
4,4,146,6,58962.0,51489.0,59072.0,55939.33203125,10089116.0,53147.25,56697.0,58962.0,0.2
5,4,103,6,71673.0,56641.0,71673.0,65660.6640625,33697748.0,61100.75,67395.0,70741.75,0.1
6,4,131,6,82807.0,77342.0,82807.0,80940.6640625,5612153.5,78970.25,82407.5,82743.5,0.0
7,4,127,6,50572.0,42627.0,51499.0,47052.33203125,14932614.0,43263.0,47306.0,50572.0,0.3
8,4,144,6,47286.0,44016.0,54004.0,49518.0,12742093.0,47286.0,49405.0,52625.0,0.3
9,4,152,6,77680.0,55576.0,77680.0,64824.33203125,88487152.0,57305.75,60357.0,74104.75,0.1
10,4,143,6,64728.0,45106.0,64728.0,58438.66796875,43250452.0,57846.5,59299.0,63453.0,0.1
11,4,132,6,61109.0,47001.0,61109.0,55812.16796875,28433148.0,52064.25,57297.0,60711.0,0.0
12,4,117,6,44904.0,39205.0,44904.0,43741.5,4236363.0,44095.0,44756.0,44904.0,0.5
13,4,121,6,45528.0,45528.0,49816.0,47821.83203125,2813661.25,46241.25,48610.0,48839.0,0.0
14,4,103,6,42088.0,37186.0,42088.0,40162.66796875,2922001.25,39352.25,40204.5,41719.75,0.0
15,4,155,6,84745.0,67920.0,85630.0,79845.3359375,38987576.0,77350.5,82046.0,84745.0,0.0
16,4,142,6,87264.0,61377.0,87264.0,81556.3359375,84106880.0,83085.0,85495.0,86942.75,0.1
17,4,150,6,103723.0,70810.0,103723.0,88128.1640625,158000384.0,78385.25,86790.0,100501.75,0.1
18,4,142,6,43343.0,24244.0,43343.0,33812.16796875,53953796.0,28239.75,32266.0,40958.75,0.2
19,4,138,6,62023.0,38985.0,62023.0,52164.83203125,70583568.0,46522.25,52490.0,59973.5,0.1
20,4,111,6,37956.0,37956.0,43411.0,40972.0,5188748.5,38674.75,41835.0,42839.0,0.2
21,4,138,6,81069.0,54229.0,81069.0,69003.6640625,124979864.0,58070.75,71282.0,79690.25,0.3
22,4,134,6,74174.0,53241.0,74174.0,67188.5,49381420.0,66115.75,67871.5,72799.75,0.1
23,4,135,6,41255.0,30714.0,41255.0,36151.0,17458432.0,32556.5,35816.5,40329.75,0.4
24,4,133,6,52763.0,42897.0,52763.0,48278.0,16057280.0,45014.25,48175.5,52316.25,0.1
25,4,141,6,140776.0,79519.0,140776.0,116202.6640625,526999040.0,101412.25,117908.5,138370.0,0.1
26,4,122,6,95719.0,66784.0,95719.0,81226.5,161119712.0,69069.5,80372.5,94200.0,0.3
27,4,151,6,54605.0,50461.0,58178.0,54353.0,7310149.0,52277.75,54605.0,56226.5,0.2
28,4,131,6,52693.0,46545.0,52693.0,50222.33203125,5325439.0,48534.25,50648.0,52389.75,0.2
29,4,145,6,49900.0,42754.0,49900.0,47924.0,5882219.0,48072.5,48489.5,49605.5,0.3
30,4,111,6,79808.0,58614.0,79808.0,69218.6640625,66839920.0,63040.25,67817.0,76810.25,0.4
31,4,136,6,69259.0,57319.0,69259.0,64760.66796875,18756976.0,62284.0,65420.0,68785.5,0.0
32,4,99,6,61167.0,56239.0,63227.0,60129.83203125,5749915.5,58526.25,61167.0,61291.5,0.2
33,4,137,6,74681.0,56744.0,76453.0,70842.3359375,43389296.0,71055.75,73156.0,74681.0,0.4
34,4,142,6,40177.0,26337.0,43014.0,38877.83203125,32645612.0,40177.0,40582.0,42178.0,0.1
35,4,151,6,34347.0,31991.0,37415.0,35419.5,4077871.25,34347.0,35717.5,37268.75,0.2
36,4,142,6,39400.0,31091.0,45752.0,38556.66796875,24316350.0,35056.0,39400.0,41416.75,0.2
37,4,132,6,48123.0,6787.0,48123.0,33593.33203125,264725712.0,21439.0,40967.5,47581.0,0.2
38,4,121,6,85672.0,51753.0,85672.0,66594.3359375,196544816.0,55710.25,60500.5,80395.0,0.1
39,4,129,6,37349.0,32208.0,37349.0,35117.16796875,3699972.5,33684.0,35294.5,36881.0,0.2
40,4,149,6,79501.0,64909.0,79501.0,72347.3359375,29970024.0,68706.75,71075.5,77473.25,0.1
41,4,135,6,113087.0,76575.0,113087.0,96219.6640625,273826592.0,79889.75,98153.5,112698.75,0.0
42,4,130,6,88381.0,51793.0,88381.0,69121.1640625,248401232.0,54806.0,65783.5,85325.25,0.3
