qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
0,19,244,21,67679.0,56233.0,84216.0,75174.2,65230544.160000004,70723.25,78856.5,80654.0,0.75
1,19,218,21,81337.0,48699.0,81337.0,62665.95,45920333.147499986,60265.5,62837.5,65923.75,0.85
1,24,257,26,81337.0,48699.0,67057.0,60962.65,20652375.127500005,60265.5,61875.5,63397.75,1.0
2,19,225,21,54543.0,54543.0,71316.0,65065.15,28365342.527500004,60958.75,66426.0,69866.0,0.65
4,19,221,21,104269.0,76268.0,104269.0,90062.7,37328597.71,85903.5,90223.5,94245.0,0.7
6,19,216,21,100071.0,75136.0,100071.0,85226.2,37790375.260000005,80308.75,86313.0,87814.0,0.9
7,19,235,21,75708.0,54740.0,75708.0,67344.7,49581854.91,62520.25,68887.5,74289.25,0.8
8,19,255,21,61037.0,61037.0,78675.0,71486.25,31443799.5875,67945.75,73100.5,76052.0,0.85
10,19,244,21,112876.0,68491.0,112876.0,78256.7,114189168.41000001,70840.25,75480.5,79401.75,0.8
11,19,232,21,69551.0,62764.0,91524.0,84502.85,62930915.62750001,83724.75,88202.0,89633.25,0.8
12,19,226,21,71455.0,70048.0,78024.0,74657.25,5612933.9875,72887.0,74245.5,76951.5,0.7
14,19,174,21,58903.0,53825.0,60417.0,57536.4,3352304.9400000004,56268.5,58066.5,58756.75,0.95
15,19,246,21,122472.0,77185.0,122472.0,101889.1,134696052.39000002,91477.0,105874.0,110507.5,0.5
16,19,244,21,91361.0,77124.0,102329.0,93528.75,31305779.7875,91196.75,93881.5,97635.5,0.7
17,19,240,21,132447.0,92082.0,132447.0,116030.35,106462659.92750001,110063.5,116505.0,123718.5,0.8
19,19,246,21,88091.0,40818.0,88091.0,65328.6,105642865.74,60011.25,65439.0,72903.75,0.6
19,24,294,26,88091.0,40818.0,72814.0,62423.35,54421579.62749998,60011.25,62947.5,67557.25,0.85
21,19,232,21,113230.0,76608.0,113230.0,96012.15,125079613.5275,84607.75,99384.0,104540.5,0.8
21,24,293,26,113230.0,76608.0,104983.0,94597.95,100218781.94749999,84607.75,98531.0,102297.0,0.9
22,19,246,21,87212.0,77148.0,97381.0,91155.25,27419236.9875,87212.0,92924.0,95082.0,0.7
24,19,221,21,83432.0,59081.0,83432.0,70582.0,29614638.2,67500.5,71933.0,73727.25,0.7
24,24,271,26,83432.0,59081.0,73713.0,67967.05,18101627.347500004,65686.25,67973.5,71496.0,0.95
25,19,234,21,149776.0,103378.0,149776.0,127656.55,114992994.54750001,120153.75,128857.5,132748.25,0.6
26,19,254,21,143834.0,99045.0,143834.0,117325.4,127322949.14000002,108641.0,119207.0,125419.5,0.7
26,24,303,26,143834.0,99045.0,125538.0,114687.7,72738800.71000001,108641.0,117207.5,121937.5,0.85
27,19,241,21,83097.0,56508.0,83097.0,74010.5,43080675.85,70709.5,74317.0,79528.25,0.65
30,19,234,21,109179.0,91024.0,115766.0,106517.65,45426197.8275,101098.75,109179.0,112237.0,0.6
33,19,258,21,121689.0,92372.0,121689.0,107179.75,55462625.2875,103433.25,108259.5,112442.75,0.85
35,19,202,21,64607.0,37060.0,64607.0,50339.9,48432570.989999995,43466.25,52690.5,55631.0,0.9
37,19,190,21,58013.0,6787.0,58013.0,38738.7,139601051.31,36522.25,41418.0,46064.25,0.95
39,19,240,21,62027.0,43764.0,62027.0,55106.35,25023952.2275,51903.5,56491.5,58977.5,0.65
39,24,284,26,62027.0,43764.0,58868.0,53403.25,16387201.6875,51502.5,54136.0,56469.75,0.9
40,19,243,21,128340.0,79563.0,128340.0,101251.25,102794846.5875,96836.75,101837.0,106659.0,0.75
41,19,254,21,127125.0,80459.0,127125.0,105812.05,77877738.8475,104626.75,106552.0,109659.25,0.85
42,19,222,21,89556.0,61426.0,89556.0,78031.6,40221124.739999995,75132.25,79141.5,82211.5,0.95
43,19,223,21,110269.0,77886.0,110269.0,85811.5,46153202.15,82649.0,84852.0,86859.0,0.8
46,19,241,21,88276.0,67549.0,88276.0,77804.75,24381474.0875,74143.5,79093.5,81436.0,0.95
47,19,236,21,92570.0,64842.0,92570.0,78176.15,56842998.8275,72123.75,78361.0,83457.75,0.8
48,19,238,21,71256.0,48007.0,73230.0,68483.0,38089435.2,65614.5,71193.5,72380.5,0.8
50,19,224,21,72912.0,53994.0,83700.0,66118.8,46969531.760000005,61338.5,64532.5,69922.25,0.85
51,19,252,21,84283.0,67236.0,84283.0,79739.1,24288267.39,77635.5,82052.0,83750.25,0.65
52,19,197,21,156047.0,6584.0,156047.0,108067.45,670090585.2475001,108774.0,111735.5,115953.25,0.9
53,19,223,21,101149.0,80288.0,101149.0,91175.0,39121298.7,86691.0,92047.5,96054.0,0.75
54,19,238,21,101286.0,63534.0,101563.0,85939.8,72307323.76,81881.25,86112.0,88643.25,0.85
55,19,223,21,128450.0,83010.0,128450.0,96966.95,94904873.34750001,90856.0,95356.5,99338.0,0.65
55,24,279,26,128450.0,83010.0,100383.0,93766.2,20331743.359999996,90856.0,94420.5,96706.75,0.75
58,19,228,21,88885.0,62755.0,88885.0,79848.3,45782041.11,79309.75,81476.5,83774.0,0.9
61,19,249,21,93913.0,62690.0,93913.0,83436.25,61185182.8875,80630.5,85010.0,87286.25,0.8
63,19,212,21,93667.0,62586.0,93667.0,82256.5,73200889.85,79605.5,84061.5,88325.25,0.9
66,19,218,21,83442.0,40486.0,83442.0,64683.8,101085440.46000001,61800.25,64869.0,69780.25,0.85
68,19,219,21,103288.0,72521.0,103288.0,88371.05,48049781.2475,85092.25,91069.0,92699.25,0.85
69,19,224,21,93697.0,74487.0,95797.0,88290.65,31618071.4275,85970.5,89601.5,92307.75,0.8
70,19,227,21,112271.0,71636.0,112271.0,89187.25,81091083.3875,83906.5,88772.0,94928.25,0.7
70,24,282,26,112271.0,71636.0,95147.0,86997.35,38051475.0275,83906.5,88153.0,92122.25,0.9
72,19,253,21,69017.0,57777.0,74024.0,67988.45,16531971.4475,66077.5,68075.5,71167.25,0.6
72,24,302,26,69017.0,57777.0,70893.0,66834.15,14399372.327500004,65747.75,67422.5,69589.5,0.65
73,19,241,21,114654.0,75708.0,114654.0,101221.85,108815707.02749999,95997.0,105606.0,108891.75,0.8
74,19,246,21,81880.0,39550.0,81880.0,67311.7,83610802.21000001,65846.5,69566.0,71461.25,0.9
76,19,240,21,122053.0,75879.0,122053.0,94397.7,83504668.21,91956.75,95193.5,98463.0,0.85
77,19,228,21,77137.0,49753.0,81122.0,74464.3,66155091.91000001,74454.0,77366.5,78777.5,0.95
78,19,209,21,113363.0,70599.0,113363.0,88753.25,93221056.5875,82113.25,86998.0,96401.0,0.95
79,19,251,21,102373.0,74471.0,102373.0,87553.5,47755741.05,82287.25,87984.0,92981.75,0.6
79,24,306,26,102373.0,74471.0,93332.0,85310.65,33695037.8275,81441.0,85862.0,90344.5,0.8
80,19,228,21,110446.0,54230.0,110446.0,89545.8,137053250.85999998,86965.25,91625.5,94386.5,0.85
81,19,239,21,98463.0,67822.0,98463.0,79540.7,48559993.31,74039.75,79942.0,83995.5,0.75
82,19,242,21,53020.0,53020.0,73502.0,66324.5,49772501.15,63234.25,69341.5,71658.25,0.9
83,19,249,21,57437.0,55891.0,70304.0,64731.05,22890916.7475,60405.75,66609.5,68653.0,0.75
85,19,168,21,113106.0,58319.0,113106.0,76320.95,105569516.04750001,72875.25,74890.0,77345.25,0.85
86,19,255,21,96386.0,58887.0,96386.0,77575.7,93906013.31000002,71503.5,78458.5,83820.0,0.7
86,24,309,26,96386.0,58887.0,83702.0,75489.5,53457630.25,71503.5,78458.5,80492.5,0.95
88,19,238,21,91588.0,60816.0,91588.0,73140.05,47669902.747499995,66824.25,73599.0,77225.75,0.9
89,19,195,21,68726.0,30258.0,68726.0,48463.0,84885814.3,43849.5,48871.5,54329.25,0.95
91,19,256,21,80727.0,61739.0,87283.0,75064.55,40526162.5475,70487.5,75494.0,80360.25,0.8
94,19,238,21,98283.0,58487.0,98283.0,79344.5,57363224.75,77158.0,79504.0,82956.5,0.75
95,19,251,21,97468.0,77791.0,97468.0,88005.65,30904267.327500004,84020.25,88188.0,92515.25,0.9
96,19,237,21,77959.0,66735.0,77959.0,74695.95,8874128.5475,73785.5,75544.0,76492.5,0.9
