Method,k,efSearch,QPS,Avg Latency (ms),Total Time (s),Recall@10,M,efConstruction,pip_gamma,pip_delta
HNSW,10,50,447.1350228091732,2.236460909989546,0.2236460909989546,0.997,16,100,,
HNSW,10,100,2712.242465828928,0.368698599995696,0.0368698599995696,0.998,16,100,,
HNSW,10,150,531.3916452529922,1.8818511900462909,0.1881851190046291,1.0,16,100,,
HNSW,10,200,302.11106785229714,3.3100409300095635,0.33100409300095635,1.0,16,100,,
PiP,10,50,267.2085020911711,3.742395890003536,0.3742395890003536,0.958,16,100,90.0,10.0
PiP,10,100,137.53794761325167,7.270720680025988,0.7270720680025988,0.958,16,100,90.0,10.0
PiP,10,150,241.71093266169217,4.137173229973996,0.4137173229973996,0.958,16,100,90.0,10.0
PiP,10,200,265.98178767661454,3.7596559100347804,0.37596559100347804,0.958,16,100,90.0,10.0
PiP,10,50,66.15711337681981,15.115532540003187,1.5115532540003187,0.984,16,100,90.0,20.0
PiP,10,100,191.52836559715885,5.221158740023384,0.5221158740023384,0.984,16,100,90.0,20.0
PiP,10,150,155.90375213747072,6.414213810057845,0.6414213810057845,0.984,16,100,90.0,20.0
PiP,10,200,141.4245385468176,7.07090869997046,0.707090869997046,0.984,16,100,90.0,20.0
PiP,10,50,175.78004305840707,5.688927949959179,0.5688927949959179,0.994,16,100,90.0,30.0
PiP,10,100,232.66912378649556,4.297948880048352,0.42979488800483523,0.994,16,100,90.0,30.0
PiP,10,150,240.9687113763353,4.149916370006395,0.41499163700063946,0.994,16,100,90.0,30.0
PiP,10,200,236.33776129152423,4.231232429956435,0.4231232429956435,0.994,16,100,90.0,30.0
PiP,10,50,399.4500292105478,2.5034420500014676,0.25034420500014676,0.976,16,100,95.0,10.0
PiP,10,100,352.59860536026264,2.836086089955643,0.2836086089955643,0.976,16,100,95.0,10.0
PiP,10,150,296.152968793001,3.3766333799576387,0.33766333799576387,0.976,16,100,95.0,10.0
PiP,10,200,352.8040788800278,2.8344343500066316,0.28344343500066316,0.976,16,100,95.0,10.0
PiP,10,50,432.1035553779208,2.314260060011293,0.23142600600112928,0.995,16,100,95.0,20.0
PiP,10,100,415.02274082999344,2.4095065200526733,0.24095065200526733,0.995,16,100,95.0,20.0
PiP,10,150,351.15398241567686,2.847753549940535,0.2847753549940535,0.995,16,100,95.0,20.0
PiP,10,200,380.00965878711713,2.6315120599610964,0.26315120599610964,0.995,16,100,95.0,20.0
PiP,10,50,159.47531168060274,6.270563069992932,0.6270563069992932,0.996,16,100,95.0,30.0
PiP,10,100,255.98025159126453,3.9065513600507984,0.39065513600507984,0.996,16,100,95.0,30.0
PiP,10,150,322.77423265501074,3.098140739966766,0.3098140739966766,0.996,16,100,95.0,30.0
PiP,10,200,335.11639158563287,2.9840378600056283,0.29840378600056283,0.996,16,100,95.0,30.0
PiP,10,50,513.9372589443283,1.9457628000236582,0.19457628000236582,0.976,16,100,98.0,10.0
PiP,10,100,586.4123072742824,1.7052848100138362,0.17052848100138362,0.976,16,100,98.0,10.0
PiP,10,150,503.31283780171657,1.9868358700477984,0.19868358700477984,0.976,16,100,98.0,10.0
PiP,10,200,554.0080786299704,1.8050278300506761,0.1805027830050676,0.976,16,100,98.0,10.0
PiP,10,50,330.35044609226463,3.02708839000843,0.302708839000843,0.995,16,100,98.0,20.0
PiP,10,100,332.09331460226014,3.0112018400541274,0.30112018400541274,0.995,16,100,98.0,20.0
PiP,10,150,351.65129099129615,2.8437262299848953,0.28437262299848953,0.995,16,100,98.0,20.0
PiP,10,200,396.3394814684128,2.5230895400454756,0.25230895400454756,0.995,16,100,98.0,20.0
PiP,10,50,137.3439327409981,7.280991450024885,0.7280991450024885,0.996,16,100,98.0,30.0
PiP,10,100,279.6263025999788,3.576201489995583,0.3576201489995583,0.996,16,100,98.0,30.0
PiP,10,150,270.9935814323041,3.690124300046591,0.3690124300046591,0.996,16,100,98.0,30.0
PiP,10,200,198.0739573617719,5.048619279987179,0.5048619279987179,0.996,16,100,98.0,30.0
