Method,k,efSearch,QPS,Avg Latency (ms),Total Time (s),Recall@10,M,efConstruction,pip_gamma,pip_delta,HNSW_Recall,HNSW_QPS,HNSW_Latency,Recall_Diff,QPS_Ratio,Latency_Ratio
PiP,10,50,267.2085020911711,3.742395890003536,0.3742395890003536,0.958,16,100,90.0,10,0.997,447.1350228091732,2.236460909989546,-0.039000000000000035,0.5976013697437641,1.673356271637687
PiP,10,100,137.53794761325167,7.270720680025988,0.7270720680025988,0.958,16,100,90.0,10,0.998,2712.242465828928,0.368698599995696,-0.040000000000000036,0.05071004873128727,19.719957385547065
PiP,10,150,241.71093266169217,4.137173229973996,0.4137173229973996,0.958,16,100,90.0,10,1.0,531.3916452529922,1.8818511900462909,-0.04200000000000004,0.45486400627660434,2.198459289372518
PiP,10,200,265.98178767661454,3.7596559100347804,0.37596559100347804,0.958,16,100,90.0,10,1.0,302.11106785229714,3.3100409300095635,-0.04200000000000004,0.8804106038467074,1.1358336617378075
PiP,10,50,66.15711337681981,15.115532540003187,1.5115532540003187,0.984,16,100,90.0,20,0.997,447.1350228091732,2.236460909989546,-0.013000000000000012,0.147957797985004,6.758683987047125
PiP,10,100,191.52836559715885,5.221158740023384,0.5221158740023384,0.984,16,100,90.0,20,0.998,2712.242465828928,0.368698599995696,-0.014000000000000012,0.0706162402551363,14.16104845552528
PiP,10,150,155.90375213747072,6.414213810057845,0.6414213810057845,0.984,16,100,90.0,20,1.0,531.3916452529922,1.8818511900462909,-0.016000000000000014,0.2933876614925813,3.4084596295311025
PiP,10,200,141.4245385468176,7.07090869997046,0.707090869997046,0.984,16,100,90.0,20,1.0,302.11106785229714,3.3100409300095635,-0.016000000000000014,0.46812101109768145,2.136199778034174
PiP,10,50,175.78004305840707,5.688927949959179,0.5688927949959179,0.994,16,100,90.0,30,0.997,447.1350228091732,2.236460909989546,-0.0030000000000000027,0.3931251950564067,2.543718928664741
PiP,10,100,232.66912378649556,4.297948880048352,0.42979488800483523,0.994,16,100,90.0,30,0.998,2712.242465828928,0.368698599995696,-0.0040000000000000036,0.0857847802023062,11.657079468429021
PiP,10,150,240.9687113763353,4.149916370006395,0.41499163700063946,0.994,16,100,90.0,30,1.0,531.3916452529922,1.8818511900462909,-0.006000000000000005,0.45346725626747786,2.2052308875200235
PiP,10,200,236.33776129152423,4.231232429956435,0.4231232429956435,0.994,16,100,90.0,30,1.0,302.11106785229714,3.3100409300095635,-0.006000000000000005,0.7822876631817751,1.2783021477454088
PiP,10,50,399.4500292105478,2.5034420500014676,0.25034420500014676,0.976,16,100,95.0,10,0.997,447.1350228091732,2.236460909989546,-0.02100000000000002,0.8933543758235726,1.1193766181288496
PiP,10,100,352.59860536026264,2.836086089955643,0.2836086089955643,0.976,16,100,95.0,10,0.998,2712.242465828928,0.368698599995696,-0.02200000000000002,0.13000261215676373,7.6921531299244155
PiP,10,150,296.152968793001,3.3766333799576387,0.33766333799576387,0.976,16,100,95.0,10,1.0,531.3916452529922,1.8818511900462909,-0.02400000000000002,0.557315816758851,1.794314767191862
PiP,10,200,352.8040788800278,2.8344343500066316,0.28344343500066316,0.976,16,100,95.0,10,1.0,302.11106785229714,3.3100409300095635,-0.02400000000000002,1.1677959413672148,0.8563139882377353
PiP,10,50,432.1035553779208,2.314260060011293,0.23142600600112928,0.995,16,100,95.0,20,0.997,447.1350228091732,2.236460909989546,-0.0020000000000000018,0.9663827106702231,1.034786724719508
PiP,10,100,415.02274082999344,2.4095065200526733,0.24095065200526733,0.995,16,100,95.0,20,0.998,2712.242465828928,0.368698599995696,-0.0030000000000000027,0.15301830351039516,6.535165905378541
PiP,10,150,351.15398241567686,2.847753549940535,0.2847753549940535,0.995,16,100,95.0,20,1.0,531.3916452529922,1.8818511900462909,-0.0050000000000000044,0.6608195396984359,1.5132724441779501
PiP,10,200,380.00965878711713,2.6315120599610964,0.26315120599610964,0.995,16,100,95.0,20,1.0,302.11106785229714,3.3100409300095635,-0.0050000000000000044,1.2578475243843261,0.795008918501045
PiP,10,50,159.47531168060274,6.270563069992932,0.6270563069992932,0.996,16,100,95.0,30,0.997,447.1350228091732,2.236460909989546,-0.0010000000000000009,0.3566603006820673,2.8037883613276486
PiP,10,100,255.98025159126453,3.9065513600507984,0.39065513600507984,0.996,16,100,95.0,30,0.998,2712.242465828928,0.368698599995696,-0.0020000000000000018,0.09437956038824526,10.59551449367153
PiP,10,150,322.77423265501074,3.098140739966766,0.3098140739966766,0.996,16,100,95.0,30,1.0,531.3916452529922,1.8818511900462909,-0.0040000000000000036,0.6074130738381104,1.6463261050362628
PiP,10,200,335.11639158563287,2.9840378600056283,0.29840378600056283,0.996,16,100,95.0,30,1.0,302.11106785229714,3.3100409300095635,-0.0040000000000000036,1.1092489724655574,0.901510864397984
PiP,10,50,513.9372589443283,1.9457628000236582,0.19457628000236582,0.976,16,100,98.0,10,0.997,447.1350228091732,2.236460909989546,-0.02100000000000002,1.1494005898161654,0.8700186939698192
PiP,10,100,586.4123072742824,1.7052848100138362,0.17052848100138362,0.976,16,100,98.0,10,0.998,2712.242465828928,0.368698599995696,-0.02200000000000002,0.21620939671227382,4.625145878052542
PiP,10,150,503.31283780171657,1.9868358700477984,0.19868358700477984,0.976,16,100,98.0,10,1.0,531.3916452529922,1.8818511900462909,-0.02400000000000002,0.9471598627827362,1.05578798183236
PiP,10,200,554.0080786299704,1.8050278300506761,0.1805027830050676,0.976,16,100,98.0,10,1.0,302.11106785229714,3.3100409300095635,-0.02400000000000002,1.8337894158211587,0.5453188852397245
PiP,10,50,330.35044609226463,3.02708839000843,0.302708839000843,0.995,16,100,98.0,20,0.997,447.1350228091732,2.236460909989546,-0.0020000000000000018,0.7388158592829587,1.3535172363118029
PiP,10,100,332.09331460226014,3.0112018400541274,0.30112018400541274,0.995,16,100,98.0,20,0.998,2712.242465828928,0.368698599995696,-0.0030000000000000027,0.12244234016178353,8.167109503777011
PiP,10,150,351.65129099129615,2.8437262299848953,0.28437262299848953,0.995,16,100,98.0,20,1.0,531.3916452529922,1.8818511900462909,-0.0050000000000000044,0.6617554004332853,1.5111323600007627
PiP,10,200,396.3394814684128,2.5230895400454756,0.25230895400454756,0.995,16,100,98.0,20,1.0,302.11106785229714,3.3100409300095635,-0.0050000000000000044,1.3118999058392133,0.7622532752300999
PiP,10,50,137.3439327409981,7.280991450024885,0.7280991450024885,0.996,16,100,98.0,30,0.997,447.1350228091732,2.236460909989546,-0.0010000000000000009,0.30716433679947563,3.2555862780802722
PiP,10,100,279.6263025999788,3.576201489995583,0.3576201489995583,0.996,16,100,98.0,30,0.998,2712.242465828928,0.368698599995696,-0.0020000000000000018,0.10309782629058503,9.699525547526706
PiP,10,150,270.9935814323041,3.690124300046591,0.3690124300046591,0.996,16,100,98.0,30,1.0,531.3916452529922,1.8818511900462909,-0.0040000000000000036,0.509969593713288,1.9609012229898046
PiP,10,200,198.0739573617719,5.048619279987179,0.5048619279987179,0.996,16,100,98.0,30,1.0,302.11106785229714,3.3100409300095635,-0.0040000000000000036,0.6556329060364341,1.5252437618566221
