dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
fashion_mnist,Baseline-HNSW,16,200,10,10,,,,0.89433,4521.1,2.211852,10000
fashion_mnist,Baseline-HNSW,16,200,20,10,,,,0.94596,4445.63,2.249398,10000
fashion_mnist,Baseline-HNSW,16,200,50,10,,,,0.94604,4202.64,2.379456,10000
fashion_mnist,Baseline-HNSW,16,200,100,10,,,,0.94604,4360.25,2.293445,10000
fashion_mnist,Baseline-HNSW,16,200,150,10,,,,0.94604,4017.1,2.489356,10000
fashion_mnist,Baseline-HNSW,16,200,200,10,,,,0.94604,4390.5,2.277643,10000
fashion_mnist,Baseline-HNSW,16,200,10,20,,,,0.53681,4180.97,2.391788,10000
fashion_mnist,Baseline-HNSW,16,200,20,20,,,,0.9646,2924.84,3.418991,10000
fashion_mnist,Baseline-HNSW,16,200,50,20,,,,0.97601,2866.91,3.488073,10000
fashion_mnist,Baseline-HNSW,16,200,100,20,,,,0.97601,2781.34,3.595396,10000
fashion_mnist,Baseline-HNSW,16,200,150,20,,,,0.97601,2810.9,3.55758,10000
fashion_mnist,Baseline-HNSW,16,200,200,20,,,,0.97601,2738.26,3.651959,10000
fashion_mnist,DARTH,16,200,50,10,0.8,,,0.94604,4062.66,2.461443,10000
fashion_mnist,DARTH,16,200,50,10,0.85,,,0.94604,4121.31,2.426415,10000
fashion_mnist,DARTH,16,200,50,10,0.9,,,0.94604,3926.74,2.546641,10000
fashion_mnist,DARTH,16,200,50,10,0.95,,,0.94604,3581.13,2.792413,10000
fashion_mnist,DARTH,16,200,100,10,0.8,,,0.94604,3681.71,2.716127,10000
fashion_mnist,DARTH,16,200,100,10,0.85,,,0.94604,3702.06,2.701202,10000
fashion_mnist,DARTH,16,200,100,10,0.9,,,0.94604,3871.36,2.583069,10000
fashion_mnist,DARTH,16,200,100,10,0.95,,,0.94604,4044.04,2.472774,10000
fashion_mnist,DARTH,16,200,200,10,0.8,,,0.94604,4022.95,2.485736,10000
fashion_mnist,DARTH,16,200,200,10,0.85,,,0.94604,3858.92,2.591402,10000
fashion_mnist,DARTH,16,200,200,10,0.9,,,0.94604,3999.7,2.500186,10000
fashion_mnist,DARTH,16,200,200,10,0.95,,,0.94604,3934.49,2.541623,10000
fashion_mnist,DARTH,16,200,50,20,0.8,,,0.97601,2568.92,3.892685,10000
fashion_mnist,DARTH,16,200,50,20,0.85,,,0.97601,2634.2,3.796213,10000
fashion_mnist,DARTH,16,200,50,20,0.9,,,0.97601,2642.0,3.785006,10000
fashion_mnist,DARTH,16,200,50,20,0.95,,,0.97601,2752.55,3.63299,10000
