dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
fashion_mnist,0,16,200,200,10,0.9,1.0,1.0,False,1.891359,8.880294
fashion_mnist,1,16,200,200,10,0.9,0.9,0.9,False,5.12942,18.789915
fashion_mnist,2,16,200,200,10,0.9,1.0,1.0,False,1.827577,13.25192
fashion_mnist,3,16,200,200,10,0.9,1.0,1.0,False,2.438156,9.794729
fashion_mnist,4,16,200,200,10,0.9,1.0,1.0,False,3.69827,11.362144
fashion_mnist,5,16,200,200,10,0.9,1.0,1.0,False,2.938341,12.264562
fashion_mnist,6,16,200,200,10,0.9,1.0,1.0,False,4.352837,7.544148
fashion_mnist,7,16,200,200,10,0.9,1.0,1.0,False,4.630664,9.618236
fashion_mnist,8,16,200,200,10,0.9,1.0,1.0,False,1.976984,4.709822
fashion_mnist,9,16,200,200,10,0.9,1.0,1.0,False,2.944014,7.667753
fashion_mnist,10,16,200,200,10,0.9,1.0,1.0,False,3.178119,12.776976
fashion_mnist,11,16,200,200,10,0.9,0.9,0.9,False,4.572706,7.76555
fashion_mnist,12,16,200,200,10,0.9,0.8,0.8,False,4.285907,8.263806
fashion_mnist,13,16,200,200,10,0.9,1.0,1.0,False,2.449653,11.612132
fashion_mnist,14,16,200,200,10,0.9,1.0,1.0,False,3.822457,19.423553
fashion_mnist,15,16,200,200,10,0.9,1.0,1.0,False,1.93808,9.811412
fashion_mnist,16,16,200,200,10,0.9,0.8,0.8,False,3.435229,9.627546
fashion_mnist,17,16,200,200,10,0.9,1.0,1.0,False,6.476322,14.467294
fashion_mnist,18,16,200,200,10,0.9,1.0,1.0,False,3.178917,13.059031
fashion_mnist,19,16,200,200,10,0.9,0.9,0.9,False,2.624924,15.936796
fashion_mnist,20,16,200,200,10,0.9,1.0,1.0,False,5.072282,17.10642
fashion_mnist,21,16,200,200,10,0.9,1.0,1.0,False,3.294267,9.292759
fashion_mnist,22,16,200,200,10,0.9,1.0,1.0,False,2.38372,11.627688
fashion_mnist,23,16,200,200,10,0.9,1.0,1.0,False,5.421498,11.103109
fashion_mnist,24,16,200,200,10,0.9,1.0,1.0,False,1.64028,9.871017
fashion_mnist,25,16,200,200,10,0.9,1.0,1.0,False,3.828375,7.526018
fashion_mnist,26,16,200,200,10,0.9,0.9,0.9,False,3.776507,16.394333
fashion_mnist,27,16,200,200,10,0.9,1.0,1.0,False,2.4188,16.70063
fashion_mnist,28,16,200,200,10,0.9,1.0,1.0,False,3.574492,11.552085
fashion_mnist,29,16,200,200,10,0.9,0.9,0.9,False,3.56551,14.300416
fashion_mnist,30,16,200,200,10,0.9,0.9,0.9,False,4.797765,16.974495
fashion_mnist,31,16,200,200,10,0.9,1.0,1.0,False,5.163262,10.541102
fashion_mnist,32,16,200,200,10,0.9,0.8,0.8,False,4.445928,8.61384
fashion_mnist,33,16,200,200,10,0.9,0.8,0.8,False,3.984792,14.399031
fashion_mnist,34,16,200,200,10,0.9,1.0,1.0,False,3.68432,12.434113
fashion_mnist,35,16,200,200,10,0.9,1.0,1.0,False,2.980864,7.257258
fashion_mnist,36,16,200,200,10,0.9,0.8,0.8,False,3.853172,9.736435
fashion_mnist,37,16,200,200,10,0.9,1.0,1.0,False,2.203486,4.455848
fashion_mnist,38,16,200,200,10,0.9,1.0,1.0,False,3.214254,11.274055
fashion_mnist,39,16,200,200,10,0.9,1.0,1.0,False,3.207858,13.111542
fashion_mnist,40,16,200,200,10,0.9,1.0,1.0,False,2.828362,16.404724
fashion_mnist,41,16,200,200,10,0.9,1.0,1.0,False,2.014259,13.397635
fashion_mnist,42,16,200,200,10,0.9,1.0,1.0,False,3.313426,14.3977
fashion_mnist,43,16,200,200,10,0.9,1.0,1.0,False,3.980139,12.892552
fashion_mnist,44,16,200,200,10,0.9,1.0,1.0,False,3.06156,17.009106
fashion_mnist,45,16,200,200,10,0.9,1.0,1.0,False,2.642518,6.617592
fashion_mnist,46,16,200,200,10,0.9,1.0,1.0,False,3.284212,16.94711
fashion_mnist,47,16,200,200,10,0.9,1.0,1.0,False,3.214634,12.391192
fashion_mnist,48,16,200,200,10,0.9,1.0,1.0,False,4.414994,9.065616
fashion_mnist,49,16,200,200,10,0.9,0.9,0.9,False,3.819422,14.470641
fashion_mnist,50,16,200,200,10,0.9,1.0,1.0,False,3.764279,18.364355
fashion_mnist,51,16,200,200,10,0.9,0.7,0.7,False,3.519904,7.586146
fashion_mnist,52,16,200,200,10,0.9,0.8,0.8,False,2.469212,5.141477
fashion_mnist,53,16,200,200,10,0.9,1.0,1.0,False,6.092547,21.35583
fashion_mnist,54,16,200,200,10,0.9,1.0,1.0,False,2.10176,9.904157
fashion_mnist,55,16,200,200,10,0.9,1.0,1.0,False,3.705484,16.806147
fashion_mnist,56,16,200,200,10,0.9,1.0,1.0,False,4.257218,16.496216
fashion_mnist,57,16,200,200,10,0.9,0.8,0.8,False,3.473024,13.420467
fashion_mnist,58,16,200,200,10,0.9,1.0,1.0,False,4.242108,14.86875
fashion_mnist,59,16,200,200,10,0.9,1.0,1.0,False,2.091516,6.598931
fashion_mnist,60,16,200,200,10,0.9,0.8,0.8,False,2.70493,8.530134
fashion_mnist,61,16,200,200,10,0.9,0.9,0.9,False,3.177458,10.056128
fashion_mnist,62,16,200,200,10,0.9,1.0,1.0,False,4.058913,15.04396
fashion_mnist,63,16,200,200,10,0.9,0.8,0.8,False,3.69454,6.026408
fashion_mnist,64,16,200,200,10,0.9,1.0,1.0,False,2.095215,13.730749
fashion_mnist,65,16,200,200,10,0.9,1.0,1.0,False,2.521544,7.546327
fashion_mnist,66,16,200,200,10,0.9,0.9,0.9,False,3.752148,7.169582
fashion_mnist,67,16,200,200,10,0.9,1.0,1.0,False,2.548772,13.448923
fashion_mnist,68,16,200,200,10,0.9,0.9,0.9,False,4.261706,8.017202
fashion_mnist,69,16,200,200,10,0.9,1.0,1.0,False,4.544602,16.299824
fashion_mnist,70,16,200,200,10,0.9,0.9,0.9,False,4.18497,8.13087
fashion_mnist,71,16,200,200,10,0.9,1.0,1.0,False,2.658025,5.791232
fashion_mnist,72,16,200,200,10,0.9,1.0,1.0,False,5.020862,22.086893
fashion_mnist,73,16,200,200,10,0.9,1.0,1.0,False,2.316671,17.532206
fashion_mnist,74,16,200,200,10,0.9,1.0,1.0,False,2.69569,15.914068
fashion_mnist,75,16,200,200,10,0.9,1.0,1.0,False,2.779844,5.654672
