dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
glove100,Baseline-HNSW,16,200,10,10,,,,0.37599,6354.25,1.573751,10000
glove100,Baseline-HNSW,16,200,20,10,,,,0.52195,5119.23,1.953418,10000
glove100,Baseline-HNSW,16,200,50,10,,,,0.53334,4718.25,2.119432,10000
glove100,Baseline-HNSW,16,200,100,10,,,,0.53334,5110.92,1.956595,10000
glove100,Baseline-HNSW,16,200,150,10,,,,0.53334,5054.33,1.978503,10000
glove100,Baseline-HNSW,16,200,200,10,,,,0.53334,4974.66,2.010189,10000
glove100,Baseline-HNSW,16,200,10,20,,,,0.262525,6432.1,1.554702,10000
glove100,Baseline-HNSW,16,200,20,20,,,,0.525205,3744.07,2.67089,10000
glove100,Baseline-HNSW,16,200,50,20,,,,0.61188,3067.38,3.260113,10000
glove100,Baseline-HNSW,16,200,100,20,,,,0.61196,3233.21,3.092904,10000
glove100,Baseline-HNSW,16,200,150,20,,,,0.61196,3334.11,2.999301,10000
glove100,Baseline-HNSW,16,200,200,20,,,,0.61196,3222.93,3.102763,10000
glove100,DARTH,16,200,50,10,0.8,,,0.53334,5413.97,1.847072,10000
glove100,DARTH,16,200,50,10,0.85,,,0.53334,5136.69,1.946779,10000
glove100,DARTH,16,200,50,10,0.9,,,0.53334,5457.01,1.832505,10000
glove100,DARTH,16,200,50,10,0.95,,,0.53334,5329.12,1.876481,10000
glove100,DARTH,16,200,100,10,0.8,,,0.53334,5335.94,1.874083,10000
glove100,DARTH,16,200,100,10,0.85,,,0.53334,5318.78,1.880129,10000
glove100,DARTH,16,200,100,10,0.9,,,0.53334,5483.24,1.82374,10000
glove100,DARTH,16,200,100,10,0.95,,,0.53334,4958.92,2.016569,10000
glove100,DARTH,16,200,200,10,0.8,,,0.53334,5252.75,1.903763,10000
glove100,DARTH,16,200,200,10,0.85,,,0.53334,4343.14,2.302481,10000
glove100,DARTH,16,200,200,10,0.9,,,0.53334,3871.08,2.58326,10000
glove100,DARTH,16,200,200,10,0.95,,,0.53334,4406.58,2.269335,10000
glove100,DARTH,16,200,50,20,0.8,,,0.61196,2401.21,4.16457,10000
glove100,DARTH,16,200,50,20,0.85,,,0.61196,1909.59,5.236728,10000
glove100,DARTH,16,200,50,20,0.9,,,0.61196,2332.84,4.286628,10000
glove100,DARTH,16,200,50,20,0.95,,,0.61196,2798.15,3.573783,10000
glove100,DARTH,16,200,100,20,0.8,,,0.61196,2789.41,3.584989,10000
glove100,DARTH,16,200,100,20,0.85,,,0.61196,2742.73,3.646004,10000
glove100,DARTH,16,200,100,20,0.9,,,0.61196,3213.88,3.111503,10000
glove100,DARTH,16,200,100,20,0.95,,,0.61196,3208.05,3.117159,10000
glove100,DARTH,16,200,200,20,0.8,,,0.61196,1631.31,6.130045,10000
glove100,DARTH,16,200,200,20,0.85,,,0.61196,1599.8,6.250779,10000
glove100,DARTH,16,200,200,20,0.9,,,0.61196,1818.85,5.497989,10000
glove100,DARTH,16,200,200,20,0.95,,,0.61196,1594.61,6.271123,10000
glove100,PiP,16,200,50,10,,90.0,5.0,0.50708,873.83,11.443895,10000
glove100,PiP,16,200,100,10,,90.0,5.0,0.50708,1261.92,7.924417,10000
glove100,PiP,16,200,200,10,,90.0,5.0,0.50708,1247.5,8.016028,10000
glove100,PiP,16,200,50,20,,90.0,5.0,0.476675,1067.99,9.363404,10000
glove100,PiP,16,200,100,20,,90.0,5.0,0.476675,1101.62,9.077557,10000
glove100,PiP,16,200,200,20,,90.0,5.0,0.476675,1073.2,9.317933,10000
glove100,PiP,16,200,50,10,,90.0,10.0,0.61454,1908.21,5.24051,10000
glove100,PiP,16,200,100,10,,90.0,10.0,0.61454,1821.64,5.489563,10000
glove100,PiP,16,200,200,10,,90.0,10.0,0.61454,1491.7,6.703749,10000
glove100,PiP,16,200,50,20,,90.0,10.0,0.573475,1582.5,6.319134,10000
glove100,PiP,16,200,100,20,,90.0,10.0,0.573475,1544.79,6.473378,10000
glove100,PiP,16,200,200,20,,90.0,10.0,0.573475,1467.76,6.813125,10000
glove100,PiP,16,200,50,10,,90.0,20.0,0.71041,1328.46,7.52752,10000
glove100,PiP,16,200,100,10,,90.0,20.0,0.71078,1306.35,7.654895,10000
glove100,PiP,16,200,200,10,,90.0,20.0,0.71078,1231.47,8.120366,10000
glove100,PiP,16,200,50,20,,90.0,20.0,0.667985,1145.63,8.72882,10000
glove100,PiP,16,200,100,20,,90.0,20.0,0.668095,1149.41,8.700119,10000
glove100,PiP,16,200,200,20,,90.0,20.0,0.668095,992.55,10.075096,10000
glove100,PiP,16,200,50,10,,95.0,5.0,0.62163,1867.93,5.353524,10000
glove100,PiP,16,200,100,10,,95.0,5.0,0.62165,1842.61,5.427078,10000
glove100,PiP,16,200,200,10,,95.0,5.0,0.62165,1709.38,5.850066,10000
glove100,PiP,16,200,50,20,,95.0,5.0,0.54151,1856.21,5.387312,10000
glove100,PiP,16,200,100,20,,95.0,5.0,0.54151,1797.63,5.562869,10000
glove100,PiP,16,200,200,20,,95.0,5.0,0.54151,1545.58,6.470047,10000
glove100,PiP,16,200,50,10,,95.0,10.0,0.71927,1374.42,7.275773,10000
glove100,PiP,16,200,100,10,,95.0,10.0,0.72185,1344.44,7.438055,10000
glove100,PiP,16,200,200,10,,95.0,10.0,0.72185,1262.24,7.92243,10000
glove100,PiP,16,200,50,20,,95.0,10.0,0.63328,1447.4,6.908939,10000
glove100,PiP,16,200,100,20,,95.0,10.0,0.63332,1403.54,7.124853,10000
glove100,PiP,16,200,200,20,,95.0,10.0,0.63332,1342.5,7.448813,10000
glove100,PiP,16,200,50,10,,95.0,20.0,0.77428,1097.61,9.110688,10000
glove100,PiP,16,200,100,10,,95.0,20.0,0.80526,893.39,11.193282,10000
glove100,PiP,16,200,200,10,,95.0,20.0,0.807,848.34,11.787791,10000
glove100,PiP,16,200,50,20,,95.0,20.0,0.71148,1046.74,9.553469,10000
glove100,PiP,16,200,100,20,,95.0,20.0,0.716225,993.99,10.060441,10000
glove100,PiP,16,200,200,20,,95.0,20.0,0.71623,956.71,10.452485,10000
glove100,PiP,16,200,50,10,,99.0,5.0,0.62163,2149.49,4.652271,10000
glove100,PiP,16,200,100,10,,99.0,5.0,0.62165,2074.37,4.820735,10000
glove100,PiP,16,200,200,10,,99.0,5.0,0.62165,1914.66,5.222863,10000
glove100,PiP,16,200,50,20,,99.0,5.0,0.64762,1392.02,7.18378,10000
glove100,PiP,16,200,100,20,,99.0,5.0,0.64796,1340.47,7.460078,10000
glove100,PiP,16,200,200,20,,99.0,5.0,0.64796,1294.44,7.72535,10000
glove100,PiP,16,200,50,10,,99.0,10.0,0.71927,1496.88,6.680552,10000
glove100,PiP,16,200,100,10,,99.0,10.0,0.72185,1354.12,7.384873,10000
glove100,PiP,16,200,200,10,,99.0,10.0,0.72185,1340.9,7.457683,10000
glove100,PiP,16,200,50,20,,99.0,10.0,0.72139,1050.18,9.522173,10000
glove100,PiP,16,200,100,20,,99.0,10.0,0.73804,929.05,10.763698,10000
glove100,PiP,16,200,200,20,,99.0,10.0,0.73815,900.54,11.104501,10000
