dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
glove100,0,16,200,200,10,0.9,0.0,0.0,False,0.927787,1.0
glove100,1,16,200,200,10,0.9,0.7,0.7,False,0.879092,1.0
glove100,2,16,200,200,10,0.9,0.7,0.7,False,0.914136,1.0
glove100,3,16,200,200,10,0.9,0.3,0.3,False,0.983359,1.0
glove100,4,16,200,200,10,0.9,0.8,0.8,False,0.929643,1.0
glove100,5,16,200,200,10,0.9,0.2,0.2,False,0.982034,1.0
glove100,6,16,200,200,10,0.9,0.9,0.9,False,0.806123,1.0
glove100,7,16,200,200,10,0.9,0.0,0.0,False,0.963531,1.0
glove100,8,16,200,200,10,0.9,0.1,0.1,False,0.926079,1.0
glove100,9,16,200,200,10,0.9,0.0,0.0,False,0.969222,1.0
glove100,10,16,200,200,10,0.9,0.9,0.9,False,0.732489,1.0
glove100,11,16,200,200,10,0.9,0.2,0.2,False,0.950667,1.0
glove100,12,16,200,200,10,0.9,0.8,0.8,False,0.776471,1.0
glove100,13,16,200,200,10,0.9,0.5,0.5,False,0.91242,1.0
glove100,14,16,200,200,10,0.9,1.0,1.0,False,0.483365,1.0
glove100,15,16,200,200,10,0.9,0.0,0.0,False,0.820922,1.0
glove100,16,16,200,200,10,0.9,1.0,1.0,False,0.66567,1.0
glove100,17,16,200,200,10,0.9,0.8,0.8,False,0.881411,1.0
glove100,18,16,200,200,10,0.9,0.5,0.5,False,0.785711,1.0
glove100,19,16,200,200,10,0.9,0.8,0.8,False,0.811244,1.0
glove100,20,16,200,200,10,0.9,0.7,0.7,False,0.923268,1.0
glove100,21,16,200,200,10,0.9,0.5,0.5,False,0.896569,1.0
glove100,22,16,200,200,10,0.9,0.2,0.2,False,0.98486,1.0
glove100,23,16,200,200,10,0.9,1.0,1.0,False,0.570416,1.0
glove100,24,16,200,200,10,0.9,0.3,0.3,False,0.915458,1.0
glove100,25,16,200,200,10,0.9,0.5,0.5,False,0.91597,1.0
glove100,26,16,200,200,10,0.9,0.3,0.3,False,0.735879,1.0
glove100,27,16,200,200,10,0.9,0.3,0.3,False,0.913134,1.0
glove100,28,16,200,200,10,0.9,0.6,0.6,False,0.913105,1.0
glove100,29,16,200,200,10,0.9,0.3,0.3,False,0.977291,1.0
glove100,30,16,200,200,10,0.9,0.8,0.8,False,0.875339,1.0
glove100,31,16,200,200,10,0.9,0.6,0.6,False,0.90064,1.0
glove100,32,16,200,200,10,0.9,0.5,0.5,False,0.831138,1.0
glove100,33,16,200,200,10,0.9,0.9,0.9,False,0.769859,1.0
glove100,34,16,200,200,10,0.9,0.4,0.4,False,0.830369,1.0
glove100,35,16,200,200,10,0.9,0.3,0.3,False,0.739119,1.0
glove100,36,16,200,200,10,0.9,0.3,0.3,False,0.908009,1.0
glove100,37,16,200,200,10,0.9,1.0,1.0,False,0.875719,1.0
glove100,38,16,200,200,10,0.9,0.8,0.8,False,0.82357,1.0
glove100,39,16,200,200,10,0.9,0.0,0.0,False,0.93765,1.0
glove100,40,16,200,200,10,0.9,0.2,0.2,False,0.993631,1.0
glove100,41,16,200,200,10,0.9,0.2,0.2,False,0.960368,1.0
glove100,42,16,200,200,10,0.9,0.6,0.6,False,0.683594,1.0
glove100,43,16,200,200,10,0.9,1.0,1.0,False,0.700582,1.0
glove100,44,16,200,200,10,0.9,0.6,0.6,False,0.798063,1.0
glove100,45,16,200,200,10,0.9,0.9,0.9,False,0.810103,1.0
glove100,46,16,200,200,10,0.9,0.0,0.0,False,0.999622,1.0
glove100,47,16,200,200,10,0.9,0.7,0.7,False,0.889225,1.0
