dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
msmarco_text,Baseline-HNSW,16,200,10,10,,,,0.65136,5022.06,0.995607,5000
msmarco_text,Baseline-HNSW,16,200,20,10,,,,0.79608,4246.22,1.177519,5000
msmarco_text,Baseline-HNSW,16,200,50,10,,,,0.79906,4499.0,1.111358,5000
msmarco_text,Baseline-HNSW,16,200,100,10,,,,0.79906,4507.1,1.109361,5000
msmarco_text,Baseline-HNSW,16,200,150,10,,,,0.79906,4461.28,1.120755,5000
msmarco_text,Baseline-HNSW,16,200,200,10,,,,0.79904,4012.22,1.246193,5000
msmarco_text,Baseline-HNSW,16,200,10,20,,,,0.43164,4778.91,1.046264,5000
msmarco_text,Baseline-HNSW,16,200,20,20,,,,0.80715,2449.11,2.041561,5000
msmarco_text,Baseline-HNSW,16,200,50,20,,,,0.86579,2406.09,2.078061,5000
msmarco_text,Baseline-HNSW,16,200,100,20,,,,0.86579,2667.55,1.87438,5000
msmarco_text,Baseline-HNSW,16,200,150,20,,,,0.86579,2345.3,2.131928,5000
msmarco_text,Baseline-HNSW,16,200,200,20,,,,0.86579,2604.93,1.919439,5000
msmarco_text,DARTH,16,200,50,10,0.8,,,0.79906,4337.09,1.152848,5000
msmarco_text,DARTH,16,200,50,10,0.85,,,0.79906,4306.93,1.16092,5000
msmarco_text,DARTH,16,200,50,10,0.9,,,0.79906,4116.77,1.214544,5000
msmarco_text,DARTH,16,200,50,10,0.95,,,0.79906,4411.21,1.133476,5000
msmarco_text,DARTH,16,200,100,10,0.8,,,0.79906,4512.92,1.10793,5000
msmarco_text,DARTH,16,200,100,10,0.85,,,0.79906,4089.89,1.222526,5000
msmarco_text,DARTH,16,200,100,10,0.9,,,0.79906,4319.34,1.157584,5000
msmarco_text,DARTH,16,200,100,10,0.95,,,0.79906,4299.72,1.162867,5000
msmarco_text,DARTH,16,200,200,10,0.8,,,0.79904,4273.48,1.170006,5000
msmarco_text,DARTH,16,200,200,10,0.85,,,0.79904,4057.28,1.232353,5000
msmarco_text,DARTH,16,200,200,10,0.9,,,0.79904,4540.0,1.101323,5000
msmarco_text,DARTH,16,200,200,10,0.95,,,0.79904,4360.15,1.14675,5000
msmarco_text,DARTH,16,200,50,20,0.8,,,0.86579,2558.01,1.954648,5000
msmarco_text,DARTH,16,200,50,20,0.85,,,0.86579,2270.69,2.201976,5000
msmarco_text,DARTH,16,200,50,20,0.9,,,0.86579,2670.62,1.872223,5000
msmarco_text,DARTH,16,200,50,20,0.95,,,0.86579,2744.4,1.821893,5000
msmarco_text,DARTH,16,200,100,20,0.8,,,0.86579,2541.84,1.967081,5000
msmarco_text,DARTH,16,200,100,20,0.85,,,0.86579,2685.72,1.861696,5000
msmarco_text,DARTH,16,200,100,20,0.9,,,0.86579,2757.59,1.813176,5000
msmarco_text,DARTH,16,200,100,20,0.95,,,0.86579,2753.93,1.815587,5000
msmarco_text,DARTH,16,200,200,20,0.8,,,0.86579,2764.89,1.808392,5000
msmarco_text,DARTH,16,200,200,20,0.85,,,0.86579,2628.42,1.902283,5000
msmarco_text,DARTH,16,200,200,20,0.9,,,0.86579,2735.3,1.827955,5000
msmarco_text,DARTH,16,200,200,20,0.95,,,0.86579,2186.08,2.287202,5000
msmarco_text,PiP,16,200,50,10,,90.0,5.0,0.7704,2038.59,2.452674,5000
msmarco_text,PiP,16,200,100,10,,90.0,5.0,0.77036,1969.29,2.538987,5000
msmarco_text,PiP,16,200,200,10,,90.0,5.0,0.77038,1924.08,2.59864,5000
msmarco_text,PiP,16,200,50,20,,90.0,5.0,0.71498,1422.39,3.515202,5000
msmarco_text,PiP,16,200,100,20,,90.0,5.0,0.71498,1500.66,3.331877,5000
msmarco_text,PiP,16,200,200,20,,90.0,5.0,0.71497,1484.88,3.367271,5000
msmarco_text,PiP,16,200,50,10,,90.0,10.0,0.86256,1383.05,3.615201,5000
msmarco_text,PiP,16,200,100,10,,90.0,10.0,0.86262,1378.48,3.627185,5000
msmarco_text,PiP,16,200,200,10,,90.0,10.0,0.86256,1342.9,3.723291,5000
msmarco_text,PiP,16,200,50,20,,90.0,10.0,0.81937,1116.06,4.480045,5000
msmarco_text,PiP,16,200,100,20,,90.0,10.0,0.81936,1100.56,4.543145,5000
msmarco_text,PiP,16,200,200,20,,90.0,10.0,0.81936,1006.67,4.966891,5000
msmarco_text,PiP,16,200,50,10,,90.0,20.0,0.93214,855.01,5.847856,5000
msmarco_text,PiP,16,200,100,10,,90.0,20.0,0.93208,865.16,5.779302,5000
msmarco_text,PiP,16,200,200,10,,90.0,20.0,0.93212,869.37,5.751279,5000
msmarco_text,PiP,16,200,50,20,,90.0,20.0,0.90409,733.84,6.813433,5000
msmarco_text,PiP,16,200,100,20,,90.0,20.0,0.90414,708.54,7.056733,5000
msmarco_text,PiP,16,200,200,20,,90.0,20.0,0.90408,696.67,7.176951,5000
msmarco_text,PiP,16,200,50,10,,95.0,5.0,0.8587,1414.23,3.535485,5000
msmarco_text,PiP,16,200,100,10,,95.0,5.0,0.85868,1428.43,3.500337,5000
msmarco_text,PiP,16,200,200,10,,95.0,5.0,0.85868,1365.14,3.662619,5000
msmarco_text,PiP,16,200,50,20,,95.0,5.0,0.78085,1240.77,4.029761,5000
msmarco_text,PiP,16,200,100,20,,95.0,5.0,0.78084,1018.58,4.908774,5000
msmarco_text,PiP,16,200,200,20,,95.0,5.0,0.78084,947.31,5.278106,5000
msmarco_text,PiP,16,200,50,10,,95.0,10.0,0.9235,775.3,6.449142,5000
msmarco_text,PiP,16,200,100,10,,95.0,10.0,0.9235,828.13,6.037716,5000
msmarco_text,PiP,16,200,200,10,,95.0,10.0,0.9236,672.28,7.437417,5000
msmarco_text,PiP,16,200,50,20,,95.0,10.0,0.86557,436.05,11.466699,5000
msmarco_text,PiP,16,200,100,20,,95.0,10.0,0.86556,624.75,8.003205,5000
msmarco_text,PiP,16,200,200,20,,95.0,10.0,0.86553,401.52,12.452773,5000
msmarco_text,PiP,16,200,50,10,,95.0,20.0,0.9632,468.44,10.673793,5000
msmarco_text,PiP,16,200,100,10,,95.0,20.0,0.9661,495.57,10.089401,5000
msmarco_text,PiP,16,200,200,10,,95.0,20.0,0.9662,499.63,10.007372,5000
msmarco_text,PiP,16,200,50,20,,95.0,20.0,0.92691,489.49,10.214651,5000
msmarco_text,PiP,16,200,100,20,,95.0,20.0,0.92743,432.29,11.566212,5000
