dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
msmarco_text,0,16,200,200,10,0.9,1.0,1.0,False,0.974447,1.0
msmarco_text,1,16,200,200,10,0.9,1.0,1.0,False,0.863961,1.0
msmarco_text,2,16,200,200,10,0.9,0.7,0.7,False,0.904507,1.0
msmarco_text,3,16,200,200,10,0.9,0.7,0.7,False,1.098515,1.0
msmarco_text,4,16,200,200,10,0.9,0.8,0.8,False,0.961721,1.0
msmarco_text,5,16,200,200,10,0.9,0.9,0.9,False,1.079584,1.0
msmarco_text,6,16,200,200,10,0.9,0.9,0.9,False,0.974372,1.0
msmarco_text,7,16,200,200,10,0.9,0.7,0.7,False,1.061126,1.0
msmarco_text,8,16,200,200,10,0.9,0.7,0.7,False,1.041886,1.0
msmarco_text,9,16,200,200,10,0.9,0.7,0.7,False,1.075222,1.0
msmarco_text,10,16,200,200,10,0.9,0.6,0.6,False,1.035112,1.0
msmarco_text,11,16,200,200,10,0.9,0.8,0.8,False,1.04847,1.0
msmarco_text,12,16,200,200,10,0.9,0.8,0.8,False,1.044521,1.0
msmarco_text,13,16,200,200,10,0.9,0.5,0.5,False,1.059726,1.0
msmarco_text,14,16,200,200,10,0.9,0.5,0.5,False,1.076791,1.0
msmarco_text,15,16,200,200,10,0.9,0.8,0.8,False,1.024852,1.0
msmarco_text,16,16,200,200,10,0.9,0.6,0.6,False,1.06286,1.0
msmarco_text,17,16,200,200,10,0.9,0.8,0.8,False,1.005978,1.0
msmarco_text,18,16,200,200,10,0.9,1.0,1.0,False,0.755651,1.0
msmarco_text,19,16,200,200,10,0.9,0.8,0.8,False,0.962256,1.0
msmarco_text,20,16,200,200,10,0.9,1.0,1.0,False,0.764587,1.0
msmarco_text,21,16,200,200,10,0.9,1.0,1.0,False,0.804717,1.0
msmarco_text,22,16,200,200,10,0.9,1.0,1.0,False,0.546019,1.0
msmarco_text,23,16,200,200,10,0.9,0.7,0.7,False,0.940717,1.0
msmarco_text,24,16,200,200,10,0.9,0.6,0.6,False,0.971834,1.0
msmarco_text,25,16,200,200,10,0.9,1.0,1.0,False,0.745544,1.0
msmarco_text,26,16,200,200,10,0.9,1.0,1.0,False,0.595077,1.0
msmarco_text,27,16,200,200,10,0.9,0.9,0.9,False,1.001507,1.0
msmarco_text,28,16,200,200,10,0.9,0.9,0.9,False,0.781809,1.0
msmarco_text,29,16,200,200,10,0.9,0.9,0.9,False,0.916722,1.0
msmarco_text,30,16,200,200,10,0.9,1.0,1.0,False,0.942211,1.0
msmarco_text,31,16,200,200,10,0.9,0.9,0.9,False,0.931547,1.0
msmarco_text,32,16,200,200,10,0.9,1.0,1.0,False,0.943503,1.0
msmarco_text,33,16,200,200,10,0.9,0.9,0.9,False,1.045091,1.0
msmarco_text,34,16,200,200,10,0.9,0.7,0.7,False,0.993063,1.0
msmarco_text,35,16,200,200,10,0.9,0.7,0.7,False,0.967487,1.0
msmarco_text,36,16,200,200,10,0.9,0.9,0.9,False,0.98266,1.0
msmarco_text,37,16,200,200,10,0.9,0.0,0.0,False,1.006532,1.0
msmarco_text,38,16,200,200,10,0.9,1.0,1.0,False,0.933355,1.0
msmarco_text,39,16,200,200,10,0.9,0.8,0.8,False,1.037588,1.0
msmarco_text,40,16,200,200,10,0.9,0.9,0.9,False,1.026147,1.0
msmarco_text,41,16,200,200,10,0.9,0.6,0.6,False,1.077699,1.0
msmarco_text,42,16,200,200,10,0.9,0.5,0.5,False,1.144717,1.0
