query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle,d1nn,dknn,d_ratio,local_density,isolation_score,intrinsic_dim,difficulty,difficulty_score
0,hnsw_ef20,1.0,2.2950000000000004,10,False,20,20,0,0,0,76608.0,98017.0,1.0,{},0.0,0.0,0.0,none,0.0,276.781494140625,313.07666015625,1.1311329217595179,4772,0.5154912593845867,0.7106165975474681,easy,0.0
1,hnsw_ef20,1.0,1.592,10,False,20,20,0,0,0,65973.0,76936.0,1.0,{},0.0,0.0,0.0,none,0.0,256.85211181640625,277.3733825683594,1.0798952775074764,4598,0.47837381255178363,0.20938421798694962,easy,0.0
2,hnsw_ef20,1.0,2.182,10,False,20,20,0,0,0,42740.0,61289.0,1.0,{},0.0,0.0,0.0,none,0.0,206.73654174804688,247.56614685058594,1.1974958309610246,2378,0.3850361477287537,0.8105092895036693,easy,0.0
3,hnsw_ef20,1.0,2.267,10,False,20,20,0,0,0,46301.0,70326.0,1.0,{},0.0,0.0,0.0,none,0.0,215.17666625976562,265.19049072265625,1.2324314496187654,2096,0.40075544437977223,1.3055712284167567,easy,0.1
4,hnsw_ef20,1.0,3.771,10,False,20,20,0,0,0,62755.0,81358.0,1.0,{},0.0,0.0,0.0,none,0.0,250.5094757080078,285.2332458496094,1.138612601553146,4230,0.46656097988575546,0.5376170215231597,easy,0.0
5,hnsw_ef20,0.8,2.938,8,False,20,20,0,0,0,75708.0,105347.0,1.0,{},0.0,0.0,0.0,none,0.0,275.15087890625,318.3315734863281,1.1569346053035532,5157,0.5124543226003934,0.6237760400871009,easy,0.0
6,hnsw_ef20,1.0,2.043,10,False,20,20,0,0,0,60816.0,72362.0,1.0,{},0.0,0.0,0.0,none,0.0,246.6090087890625,269.0018615722656,1.0908030606552452,4537,0.4592965613939127,0.19840391790909054,easy,0.0
7,hnsw_ef20,1.0,1.33,10,False,20,20,0,0,0,30258.0,48728.0,1.0,{},0.0,0.0,0.0,none,0.0,173.94827270507812,220.74420166015625,1.2690220962091336,475,0.32396968750720023,1.1355096769161592,easy,0.1
8,hnsw_ef20,0.9,1.717,9,False,20,20,0,0,0,61739.0,74336.0,1.0,{},0.0,0.0,0.0,none,0.0,248.4733428955078,272.0533142089844,1.0948994006306456,4857,0.4627687875245977,0.18927300831366586,easy,0.0
9,hnsw_ef20,1.0,2.626,10,False,20,20,0,0,0,62507.0,73480.0,1.0,{},0.0,0.0,0.0,none,0.0,250.0139923095703,271.07196044921875,1.084227158428694,4593,0.46563816760794136,0.20114125903859154,easy,0.0
10,hnsw_ef20,0.9,2.8449999999999998,9,False,20,20,0,0,0,86367.0,105026.0,1.0,{},0.0,0.0,0.0,none,0.0,293.88262939453125,322.4996032714844,1.0973755200704136,5682,0.547341241899904,0.2146610895244546,easy,0.0
11,hnsw_ef20,1.0,1.877,10,False,20,20,0,0,0,29640.0,54141.0,1.0,{},0.0,0.0,0.0,none,0.0,172.1627197265625,232.68218994140625,1.3515248266928162,1413,0.32064418716458964,1.3843043656187668,easy,0.1
12,hnsw_ef20,1.0,2.8609999999999998,10,False,20,20,0,0,0,56906.0,68334.0,1.0,{},0.0,0.0,0.0,none,0.0,238.54978942871094,261.40771484375,1.0958203546093257,4108,0.44428668094426993,0.14904544947433188,easy,0.0
13,hnsw_ef20,1.0,1.7799999999999998,10,False,20,20,0,0,0,59867.0,75645.0,1.0,{},0.0,0.0,0.0,none,0.0,244.67733764648438,275.0363464355469,1.1240777306189507,3878,0.45569892350596,0.3328518402889652,easy,0.0
14,hnsw_ef20,1.0,1.867,10,False,20,20,0,0,0,74702.0,93779.0,1.0,{},0.0,0.0,0.0,none,0.0,273.3166809082031,306.23358154296875,1.120435022573032,5443,0.5090382234174997,0.40520519662374216,easy,0.0
15,hnsw_ef20,1.0,1.6620000000000001,10,False,20,20,0,0,0,64355.0,68732.0,1.0,{},0.0,0.0,0.0,none,0.0,253.68287658691406,262.1678771972656,1.0334472737163423,4497,0.4724712753723764,0.030987010827119663,easy,0.0
16,hnsw_ef20,1.0,1.8840000000000001,10,False,20,20,0,0,0,61603.0,70190.0,1.0,{},0.0,0.0,0.0,none,0.0,248.19952392578125,264.9339599609375,1.0674233204418246,4692,0.46225881381415873,0.16004749642704658,easy,0.0
17,hnsw_ef20,1.0,1.867,10,False,20,20,0,0,0,64839.0,72546.0,1.0,{},0.0,0.0,0.0,none,0.0,254.63504028320312,269.3436584472656,1.057763527547912,4690,0.47424463115421545,0.07328123096088093,easy,0.0
18,hnsw_ef20,1.0,1.6689999999999998,10,False,20,20,0,0,0,71230.0,78513.0,1.0,{},0.0,0.0,0.0,none,0.0,266.8894958496094,280.20172119140625,1.0498791655303596,4692,0.4970679226918704,0.05871391449955995,easy,0.0
19,hnsw_ef20,1.0,1.954,10,False,20,20,0,0,0,50513.0,60190.0,1.0,{},0.0,0.0,0.0,none,0.0,224.7509765625,245.3365020751953,1.0915925965152404,3788,0.4185871035772899,0.17237645751485406,easy,0.0
20,hnsw_ef20,1.0,1.33,10,False,20,20,0,0,0,37243.0,44002.0,1.0,{},0.0,0.0,0.0,none,0.0,192.9844512939453,209.76654052734375,1.0869608360719005,1093,0.35942358844488126,0.12518574926859005,easy,0.0
21,hnsw_ef20,1.0,2.682,10,False,20,20,0,0,0,6536.0,51865.0,1.0,{},0.0,0.0,0.0,none,0.0,80.84553527832031,227.7388916015625,2.8169631237834527,2,0.15057064030107584,15.71898386419396,very_hard,0.75
22,hnsw_ef20,1.0,1.3940000000000001,10,False,20,20,0,0,0,29947.0,43724.0,1.0,{},0.0,0.0,0.0,none,0.0,173.05201721191406,209.10284423828125,1.2083236451512753,1089,0.32230045787052963,0.9078726109363272,easy,0.0
23,hnsw_ef20,1.0,1.421,10,False,20,20,0,0,0,64486.0,69874.0,1.0,{},0.0,0.0,0.0,none,0.0,253.94093322753906,264.3369140625,1.0409385785222969,4052,0.47295189255771736,0.05492695941498519,easy,0.0
