query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle
0,hnsw_ef20,1.0,2.226,10,False,20,20,0,0,0,76608.0,98017.0,1.0,{},0.0,0.0,0.0,none,0.0
1,hnsw_ef20,1.0,1.633,10,False,20,20,0,0,0,65973.0,76936.0,1.0,{},0.0,0.0,0.0,none,0.0
2,hnsw_ef20,1.0,1.254,10,False,20,20,0,0,0,42740.0,61289.0,1.0,{},0.0,0.0,0.0,none,0.0
3,hnsw_ef20,1.0,3.069,10,False,20,20,0,0,0,46301.0,70326.0,1.0,{},0.0,0.0,0.0,none,0.0
4,hnsw_ef20,1.0,2.072,10,False,20,20,0,0,0,62755.0,81358.0,1.0,{},0.0,0.0,0.0,none,0.0
5,hnsw_ef20,0.8,3.376,8,False,20,20,0,0,0,75708.0,105347.0,1.0,{},0.0,0.0,0.0,none,0.0
6,hnsw_ef20,1.0,2.0349999999999997,10,False,20,20,0,0,0,60816.0,72362.0,1.0,{},0.0,0.0,0.0,none,0.0
7,hnsw_ef20,1.0,1.305,10,False,20,20,0,0,0,30258.0,48728.0,1.0,{},0.0,0.0,0.0,none,0.0
8,hnsw_ef20,0.9,1.699,9,False,20,20,0,0,0,61739.0,74336.0,1.0,{},0.0,0.0,0.0,none,0.0
9,hnsw_ef20,1.0,1.764,10,False,20,20,0,0,0,62507.0,73480.0,1.0,{},0.0,0.0,0.0,none,0.0
10,hnsw_ef20,0.9,1.666,9,False,20,20,0,0,0,86367.0,105026.0,1.0,{},0.0,0.0,0.0,none,0.0
11,hnsw_ef20,1.0,1.659,10,False,20,20,0,0,0,29640.0,54141.0,1.0,{},0.0,0.0,0.0,none,0.0
12,hnsw_ef20,1.0,5.038,10,False,20,20,0,0,0,56906.0,68334.0,1.0,{},0.0,0.0,0.0,none,0.0
13,hnsw_ef20,1.0,1.686,10,False,20,20,0,0,0,59867.0,75645.0,1.0,{},0.0,0.0,0.0,none,0.0
14,hnsw_ef20,1.0,1.859,10,False,20,20,0,0,0,74702.0,93779.0,1.0,{},0.0,0.0,0.0,none,0.0
15,hnsw_ef20,1.0,1.516,10,False,20,20,0,0,0,64355.0,68732.0,1.0,{},0.0,0.0,0.0,none,0.0
16,hnsw_ef20,1.0,1.7129999999999999,10,False,20,20,0,0,0,61603.0,70190.0,1.0,{},0.0,0.0,0.0,none,0.0
17,hnsw_ef20,1.0,1.8,10,False,20,20,0,0,0,64839.0,72546.0,1.0,{},0.0,0.0,0.0,none,0.0
18,hnsw_ef20,1.0,4.57,10,False,20,20,0,0,0,71230.0,78513.0,1.0,{},0.0,0.0,0.0,none,0.0
19,hnsw_ef20,1.0,2.9090000000000003,10,False,20,20,0,0,0,50513.0,60190.0,1.0,{},0.0,0.0,0.0,none,0.0
20,hnsw_ef20,1.0,1.367,10,False,20,20,0,0,0,37243.0,44002.0,1.0,{},0.0,0.0,0.0,none,0.0
21,hnsw_ef20,1.0,1.665,10,False,20,20,0,0,0,6536.0,51865.0,1.0,{},0.0,0.0,0.0,none,0.0
22,hnsw_ef20,1.0,1.36,10,False,20,20,0,0,0,29947.0,43724.0,1.0,{},0.0,0.0,0.0,none,0.0
23,hnsw_ef20,1.0,1.3840000000000001,10,False,20,20,0,0,0,64486.0,69874.0,1.0,{},0.0,0.0,0.0,none,0.0
24,hnsw_ef20,1.0,1.752,10,False,20,20,0,0,0,23786.0,63044.0,1.0,{},0.0,0.0,0.0,none,0.0
25,hnsw_ef20,0.8,1.638,8,False,20,20,0,0,0,73772.0,96308.0,1.0,{},0.0,0.0,0.0,none,0.0
26,hnsw_ef20,1.0,1.909,10,False,20,20,0,0,0,33651.0,59115.0,1.0,{},0.0,0.0,0.0,none,0.0
27,hnsw_ef20,1.0,2.26,10,False,20,20,0,0,0,30806.0,60091.0,1.0,{},0.0,0.0,0.0,none,0.0
