dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
sift128,Baseline-HNSW,16,200,10,10,,,,0.66409,7450.77,1.342144,10000
sift128,Baseline-HNSW,16,200,20,10,,,,0.7749,6606.6,1.513638,10000
sift128,Baseline-HNSW,16,200,50,10,,,,0.77558,6660.02,1.501496,10000
sift128,Baseline-HNSW,16,200,100,10,,,,0.77558,6864.49,1.456773,10000
sift128,Baseline-HNSW,16,200,150,10,,,,0.77558,6832.55,1.463582,10000
sift128,Baseline-HNSW,16,200,200,10,,,,0.77558,6698.3,1.492917,10000
sift128,Baseline-HNSW,16,200,10,20,,,,0.457725,7459.81,1.340516,10000
sift128,Baseline-HNSW,16,200,20,20,,,,0.817795,4518.43,2.213159,10000
sift128,Baseline-HNSW,16,200,50,20,,,,0.857465,4113.13,2.431238,10000
sift128,Baseline-HNSW,16,200,100,20,,,,0.857465,4120.99,2.426601,10000
sift128,Baseline-HNSW,16,200,150,20,,,,0.857465,4149.38,2.409997,10000
sift128,Baseline-HNSW,16,200,200,20,,,,0.857465,3833.11,2.608848,10000
sift128,DARTH,16,200,50,10,0.8,,,0.77558,6186.18,1.616505,10000
sift128,DARTH,16,200,50,10,0.85,,,0.77558,6238.73,1.602891,10000
sift128,DARTH,16,200,50,10,0.9,,,0.77558,6251.96,1.599497,10000
sift128,DARTH,16,200,50,10,0.95,,,0.77558,6318.64,1.582618,10000
sift128,DARTH,16,200,100,10,0.8,,,0.77558,5874.87,1.702165,10000
sift128,DARTH,16,200,100,10,0.85,,,0.77558,6324.74,1.581093,10000
sift128,DARTH,16,200,100,10,0.9,,,0.77558,6033.12,1.657516,10000
sift128,DARTH,16,200,100,10,0.95,,,0.77558,6164.08,1.622303,10000
sift128,DARTH,16,200,200,10,0.8,,,0.77558,6347.96,1.57531,10000
sift128,DARTH,16,200,200,10,0.85,,,0.77558,5999.1,1.666915,10000
sift128,DARTH,16,200,200,10,0.9,,,0.77558,5475.47,1.826327,10000
sift128,DARTH,16,200,200,10,0.95,,,0.77558,6221.93,1.607218,10000
sift128,DARTH,16,200,50,20,0.8,,,0.857465,3784.24,2.642536,10000
sift128,DARTH,16,200,50,20,0.85,,,0.857465,3883.65,2.574901,10000
sift128,DARTH,16,200,50,20,0.9,,,0.857465,3976.02,2.51508,10000
sift128,DARTH,16,200,50,20,0.95,,,0.857465,3838.65,2.605084,10000
sift128,DARTH,16,200,100,20,0.8,,,0.857465,4010.57,2.493414,10000
sift128,DARTH,16,200,100,20,0.85,,,0.857465,3007.15,3.325412,10000
sift128,DARTH,16,200,100,20,0.9,,,0.857465,4022.52,2.486004,10000
sift128,DARTH,16,200,100,20,0.95,,,0.857465,4108.76,2.433826,10000
sift128,DARTH,16,200,200,20,0.8,,,0.857465,3934.96,2.541322,10000
sift128,DARTH,16,200,200,20,0.85,,,0.857465,4079.48,2.451295,10000
sift128,DARTH,16,200,200,20,0.9,,,0.857465,4001.3,2.499186,10000
sift128,DARTH,16,200,200,20,0.95,,,0.857465,4115.0,2.430135,10000
sift128,PiP,16,200,50,10,,90.0,5.0,0.74274,1662.14,6.016353,10000
sift128,PiP,16,200,100,10,,90.0,5.0,0.74275,1714.03,5.834197,10000
sift128,PiP,16,200,200,10,,90.0,5.0,0.74275,1879.07,5.32178,10000
sift128,PiP,16,200,50,20,,90.0,5.0,0.702355,1140.35,8.769203,10000
sift128,PiP,16,200,100,20,,90.0,5.0,0.70232,868.35,11.516113,10000
sift128,PiP,16,200,200,20,,90.0,5.0,0.70232,1197.55,8.35038,10000
