dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
sift128,0,16,200,200,10,0.9,0.8,0.8,False,270.82098,508.22238
sift128,1,16,200,200,10,0.9,0.8,0.8,False,244.37675,507.9429
sift128,2,16,200,200,10,0.9,0.5,0.5,False,198.06564,508.18893
sift128,3,16,200,200,10,0.9,1.0,1.0,False,175.67868,509.11884
sift128,4,16,200,200,10,0.9,0.8,0.8,False,219.54271,509.22195
sift128,5,16,200,200,10,0.9,0.7,0.7,False,253.8858,507.28986
sift128,6,16,200,200,10,0.9,0.4,0.4,False,236.1906,507.91928
sift128,7,16,200,200,10,0.9,1.0,1.0,False,164.44148,509.6332
sift128,8,16,200,200,10,0.9,0.4,0.4,False,235.65228,508.87817
sift128,9,16,200,200,10,0.9,0.9,0.9,False,210.15947,508.04922
sift128,10,16,200,200,10,0.9,0.7,0.7,False,264.12875,508.18698
sift128,11,16,200,200,10,0.9,0.9,0.9,False,172.16272,508.7858
sift128,12,16,200,200,10,0.9,0.5,0.5,False,210.83168,509.0511
sift128,13,16,200,200,10,0.9,0.9,0.9,False,221.20805,509.5135
sift128,14,16,200,200,10,0.9,0.5,0.5,False,254.47003,507.4032
sift128,15,16,200,200,10,0.9,0.9,0.9,False,221.23065,508.78973
sift128,16,16,200,200,10,0.9,0.9,0.9,False,213.3565,507.47018
sift128,17,16,200,200,10,0.9,0.5,0.5,False,223.40994,508.04034
sift128,18,16,200,200,10,0.9,0.7,0.7,False,228.29367,508.7357
sift128,19,16,200,200,10,0.9,0.7,0.7,False,197.46645,508.45746
sift128,20,16,200,200,10,0.9,0.6,0.6,False,152.82343,509.3005
sift128,21,16,200,200,10,0.9,0.9,0.9,False,80.845535,510.24307
sift128,22,16,200,200,10,0.9,0.9,0.9,False,164.19196,508.70816
sift128,23,16,200,200,10,0.9,0.7,0.7,False,218.4239,509.71658
sift128,24,16,200,200,10,0.9,0.1,0.1,False,154.2271,508.49188
sift128,25,16,200,200,10,0.9,0.9,0.9,False,231.52754,508.6659
sift128,26,16,200,200,10,0.9,1.0,1.0,False,176.45679,509.33878
sift128,27,16,200,200,10,0.9,0.8,0.8,False,175.51639,508.09644
