dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
siftsmall,Baseline-HNSW,8,128,10,10,,,,0.802,38734.38,0.002582,100
siftsmall,Baseline-HNSW,8,128,20,10,,,,0.886,34295.84,0.002916,100
siftsmall,Baseline-HNSW,8,128,50,10,,,,0.886,38153.69,0.002621,100
siftsmall,Baseline-HNSW,8,128,100,10,,,,0.886,29207.22,0.003424,100
siftsmall,Baseline-HNSW,8,128,150,10,,,,0.886,40665.1,0.002459,100
siftsmall,Baseline-HNSW,8,128,200,10,,,,0.886,30457.58,0.003283,100
siftsmall,Baseline-HNSW,8,128,10,20,,,,0.5265,28334.47,0.003529,100
siftsmall,Baseline-HNSW,8,128,20,20,,,,0.9155,20376.35,0.004908,100
siftsmall,Baseline-HNSW,8,128,50,20,,,,0.931,25013.0,0.003998,100
siftsmall,Baseline-HNSW,8,128,100,20,,,,0.931,23030.75,0.004342,100
siftsmall,Baseline-HNSW,8,128,150,20,,,,0.931,23915.7,0.004181,100
siftsmall,Baseline-HNSW,8,128,200,20,,,,0.931,23890.74,0.004186,100
siftsmall,DARTH,8,128,50,10,0.8,,,0.886,36654.03,0.002728,100
siftsmall,DARTH,8,128,50,10,0.85,,,0.886,38684.65,0.002585,100
siftsmall,DARTH,8,128,50,10,0.9,,,0.886,34204.43,0.002924,100
siftsmall,DARTH,8,128,50,10,0.95,,,0.886,38291.11,0.002612,100
siftsmall,DARTH,8,128,100,10,0.8,,,0.886,37454.63,0.00267,100
siftsmall,DARTH,8,128,100,10,0.85,,,0.886,37014.29,0.002702,100
siftsmall,DARTH,8,128,100,10,0.9,,,0.886,37762.91,0.002648,100
siftsmall,DARTH,8,128,100,10,0.95,,,0.886,38528.32,0.002595,100
siftsmall,DARTH,8,128,200,10,0.8,,,0.886,33385.35,0.002995,100
siftsmall,DARTH,8,128,200,10,0.85,,,0.886,34567.7,0.002893,100
siftsmall,DARTH,8,128,200,10,0.9,,,0.886,36891.25,0.002711,100
siftsmall,DARTH,8,128,200,10,0.95,,,0.886,35603.07,0.002809,100
siftsmall,DARTH,8,128,50,20,0.8,,,0.931,22666.79,0.004412,100
siftsmall,DARTH,8,128,50,20,0.85,,,0.931,20259.94,0.004936,100
siftsmall,DARTH,8,128,50,20,0.9,,,0.931,22556.79,0.004433,100
siftsmall,DARTH,8,128,50,20,0.95,,,0.931,22586.93,0.004427,100
siftsmall,DARTH,8,128,100,20,0.8,,,0.931,23217.52,0.004307,100
siftsmall,DARTH,8,128,100,20,0.85,,,0.931,21995.49,0.004546,100
siftsmall,DARTH,8,128,100,20,0.9,,,0.931,23797.23,0.004202,100
siftsmall,DARTH,8,128,100,20,0.95,,,0.931,23964.96,0.004173,100
siftsmall,DARTH,8,128,200,20,0.8,,,0.931,24147.86,0.004141,100
siftsmall,DARTH,8,128,200,20,0.85,,,0.931,21460.25,0.00466,100
siftsmall,DARTH,8,128,200,20,0.9,,,0.931,23704.9,0.004219,100
siftsmall,DARTH,8,128,200,20,0.95,,,0.931,23446.11,0.004265,100
siftsmall,PiP,8,128,50,10,,90.0,5.0,0.842,7482.31,0.013365,100
siftsmall,PiP,8,128,100,10,,90.0,5.0,0.842,7584.32,0.013185,100
siftsmall,PiP,8,128,200,10,,90.0,5.0,0.842,7136.22,0.014013,100
siftsmall,PiP,8,128,50,20,,90.0,5.0,0.802,5320.69,0.018795,100
siftsmall,PiP,8,128,100,20,,90.0,5.0,0.802,4795.61,0.020852,100
siftsmall,PiP,8,128,200,20,,90.0,5.0,0.802,2907.94,0.034389,100
siftsmall,PiP,8,128,50,10,,90.0,10.0,0.917,5912.43,0.016914,100
siftsmall,PiP,8,128,100,10,,90.0,10.0,0.917,5651.38,0.017695,100
siftsmall,PiP,8,128,200,10,,90.0,10.0,0.917,5262.05,0.019004,100
siftsmall,PiP,8,128,50,20,,90.0,10.0,0.8815,3347.62,0.029872,100
siftsmall,PiP,8,128,100,20,,90.0,10.0,0.8815,3950.55,0.025313,100
siftsmall,PiP,8,128,200,20,,90.0,10.0,0.8815,3695.76,0.027058,100
siftsmall,PiP,8,128,50,10,,90.0,20.0,0.961,3819.99,0.026178,100
siftsmall,PiP,8,128,100,10,,90.0,20.0,0.961,3714.31,0.026923,100
siftsmall,PiP,8,128,200,10,,90.0,20.0,0.961,3540.34,0.028246,100
siftsmall,PiP,8,128,50,20,,90.0,20.0,0.9515,2346.47,0.042617,100
siftsmall,PiP,8,128,100,20,,90.0,20.0,0.9515,2396.1,0.041735,100
siftsmall,PiP,8,128,200,20,,90.0,20.0,0.9515,2414.04,0.041424,100
siftsmall,PiP,8,128,50,10,,95.0,5.0,0.92,5744.83,0.017407,100
siftsmall,PiP,8,128,100,10,,95.0,5.0,0.92,5619.16,0.017796,100
siftsmall,PiP,8,128,200,10,,95.0,5.0,0.92,5638.04,0.017737,100
siftsmall,PiP,8,128,50,20,,95.0,5.0,0.8505,4831.97,0.020696,100
siftsmall,PiP,8,128,100,20,,95.0,5.0,0.8505,4470.67,0.022368,100
siftsmall,PiP,8,128,200,20,,95.0,5.0,0.8505,4782.73,0.020909,100
siftsmall,PiP,8,128,50,10,,95.0,10.0,0.956,4222.62,0.023682,100
siftsmall,PiP,8,128,100,10,,95.0,10.0,0.956,4216.81,0.023715,100
siftsmall,PiP,8,128,200,10,,95.0,10.0,0.956,4093.61,0.024428,100
siftsmall,PiP,8,128,50,20,,95.0,10.0,0.9115,3574.99,0.027972,100
siftsmall,PiP,8,128,100,20,,95.0,10.0,0.9115,3543.55,0.02822,100
siftsmall,PiP,8,128,200,20,,95.0,10.0,0.9115,3440.69,0.029064,100
siftsmall,PiP,8,128,50,10,,95.0,20.0,0.984,2835.34,0.035269,100
siftsmall,PiP,8,128,100,10,,95.0,20.0,0.985,2811.54,0.035568,100
siftsmall,PiP,8,128,200,10,,95.0,20.0,0.985,2739.74,0.0365,100
siftsmall,PiP,8,128,50,20,,95.0,20.0,0.9615,2462.43,0.04061,100
siftsmall,PiP,8,128,100,20,,95.0,20.0,0.9615,2323.8,0.043033,100
siftsmall,PiP,8,128,200,20,,95.0,20.0,0.9615,2265.72,0.044136,100
siftsmall,PiP,8,128,50,10,,99.0,5.0,0.92,6499.99,0.015385,100
siftsmall,PiP,8,128,100,10,,99.0,5.0,0.92,5907.05,0.016929,100
siftsmall,PiP,8,128,200,10,,99.0,5.0,0.92,5811.91,0.017206,100
siftsmall,PiP,8,128,50,20,,99.0,5.0,0.9205,3696.24,0.027055,100
siftsmall,PiP,8,128,100,20,,99.0,5.0,0.9205,3377.42,0.029608,100
siftsmall,PiP,8,128,200,20,,99.0,5.0,0.9205,3474.79,0.028779,100
siftsmall,PiP,8,128,50,10,,99.0,10.0,0.956,4384.35,0.022808,100
siftsmall,PiP,8,128,100,10,,99.0,10.0,0.956,3939.97,0.025381,100
siftsmall,PiP,8,128,200,10,,99.0,10.0,0.956,4081.05,0.024504,100
siftsmall,PiP,8,128,50,20,,99.0,10.0,0.959,2372.23,0.042155,100
siftsmall,PiP,8,128,100,20,,99.0,10.0,0.959,2362.78,0.042323,100
siftsmall,PiP,8,128,200,20,,99.0,10.0,0.959,2274.9,0.043958,100
siftsmall,PiP,8,128,50,10,,99.0,20.0,0.984,2934.06,0.034083,100
siftsmall,PiP,8,128,100,10,,99.0,20.0,0.985,2818.38,0.035481,100
siftsmall,PiP,8,128,200,10,,99.0,20.0,0.985,2697.54,0.037071,100
siftsmall,PiP,8,128,50,20,,99.0,20.0,0.984,1855.73,0.053887,100
siftsmall,PiP,8,128,100,20,,99.0,20.0,0.986,1655.98,0.060387,100
siftsmall,PiP,8,128,200,20,,99.0,20.0,0.986,1536.42,0.065086,100
siftsmall,Ada-ef,8,128,0,10,0.8,,,1.0,665.04,0.150366,100
siftsmall,Ada-ef,8,128,0,10,0.85,,,1.0,670.23,0.149203,100
siftsmall,Ada-ef,8,128,0,10,0.9,,,0.993,3229.47,0.030965,100
siftsmall,Ada-ef,8,128,0,10,0.95,,,1.0,668.19,0.149658,100
siftsmall,Ada-ef,8,128,0,20,0.8,,,1.0,629.17,0.15894,100
siftsmall,Ada-ef,8,128,0,20,0.85,,,1.0,667.53,0.149806,100
siftsmall,Ada-ef,8,128,0,20,0.9,,,0.9865,3292.22,0.030375,100
siftsmall,Ada-ef,8,128,0,20,0.95,,,1.0,670.5,0.149142,100
siftsmall,Baseline-HNSW,8,200,10,10,,,,0.815,43659.3,0.00229,100
siftsmall,Baseline-HNSW,8,200,20,10,,,,0.89,35785.48,0.002794,100
siftsmall,Baseline-HNSW,8,200,50,10,,,,0.89,36811.87,0.002717,100
siftsmall,Baseline-HNSW,8,200,100,10,,,,0.89,35382.08,0.002826,100
siftsmall,Baseline-HNSW,8,200,150,10,,,,0.89,39025.67,0.002562,100
siftsmall,Baseline-HNSW,8,200,200,10,,,,0.89,39388.71,0.002539,100
siftsmall,Baseline-HNSW,8,200,10,20,,,,0.5305,37163.85,0.002691,100
siftsmall,Baseline-HNSW,8,200,20,20,,,,0.9225,23483.49,0.004258,100
siftsmall,Baseline-HNSW,8,200,50,20,,,,0.9355,23918.1,0.004181,100
siftsmall,Baseline-HNSW,8,200,100,20,,,,0.9355,23184.83,0.004313,100
siftsmall,Baseline-HNSW,8,200,150,20,,,,0.9355,23106.75,0.004328,100
siftsmall,Baseline-HNSW,8,200,200,20,,,,0.9355,21029.18,0.004755,100
siftsmall,DARTH,8,200,50,10,0.8,,,0.89,34815.69,0.002872,100
siftsmall,DARTH,8,200,50,10,0.85,,,0.89,34398.96,0.002907,100
siftsmall,DARTH,8,200,50,10,0.9,,,0.89,35297.32,0.002833,100
siftsmall,DARTH,8,200,50,10,0.95,,,0.89,37881.4,0.00264,100
siftsmall,DARTH,8,200,100,10,0.8,,,0.89,32299.27,0.003096,100
siftsmall,DARTH,8,200,100,10,0.85,,,0.89,36206.94,0.002762,100
siftsmall,DARTH,8,200,100,10,0.9,,,0.89,33641.31,0.002973,100
siftsmall,DARTH,8,200,100,10,0.95,,,0.89,35176.04,0.002843,100
siftsmall,DARTH,8,200,200,10,0.8,,,0.89,34628.19,0.002888,100
siftsmall,DARTH,8,200,200,10,0.85,,,0.89,34634.47,0.002887,100
siftsmall,DARTH,8,200,200,10,0.9,,,0.89,36270.95,0.002757,100
siftsmall,DARTH,8,200,200,10,0.95,,,0.89,33343.12,0.002999,100
siftsmall,DARTH,8,200,50,20,0.8,,,0.9355,22886.47,0.004369,100
siftsmall,DARTH,8,200,50,20,0.85,,,0.9355,24212.66,0.00413,100
siftsmall,DARTH,8,200,50,20,0.9,,,0.9355,20925.01,0.004779,100
siftsmall,DARTH,8,200,50,20,0.95,,,0.9355,23186.64,0.004313,100
siftsmall,DARTH,8,200,100,20,0.8,,,0.9355,20935.65,0.004777,100
siftsmall,DARTH,8,200,100,20,0.85,,,0.9355,22475.54,0.004449,100
siftsmall,DARTH,8,200,100,20,0.9,,,0.9355,20327.97,0.004919,100
siftsmall,DARTH,8,200,100,20,0.95,,,0.9355,20443.56,0.004892,100
siftsmall,DARTH,8,200,200,20,0.8,,,0.9355,22798.31,0.004386,100
siftsmall,DARTH,8,200,200,20,0.85,,,0.9355,22557.17,0.004433,100
siftsmall,DARTH,8,200,200,20,0.9,,,0.9355,21249.1,0.004706,100
siftsmall,DARTH,8,200,200,20,0.95,,,0.9355,23275.43,0.004296,100
siftsmall,PiP,8,200,50,10,,90.0,5.0,0.849,8525.94,0.011729,100
siftsmall,PiP,8,200,100,10,,90.0,5.0,0.849,8164.54,0.012248,100
siftsmall,PiP,8,200,200,10,,90.0,5.0,0.849,8635.65,0.01158,100
siftsmall,PiP,8,200,50,20,,90.0,5.0,0.7985,6007.31,0.016646,100
siftsmall,PiP,8,200,100,20,,90.0,5.0,0.7985,5750.5,0.01739,100
siftsmall,PiP,8,200,200,20,,90.0,5.0,0.7985,5340.62,0.018724,100
siftsmall,PiP,8,200,50,10,,90.0,10.0,0.923,5666.74,0.017647,100
siftsmall,PiP,8,200,100,10,,90.0,10.0,0.923,5357.73,0.018665,100
siftsmall,PiP,8,200,200,10,,90.0,10.0,0.923,5213.26,0.019182,100
siftsmall,PiP,8,200,50,20,,90.0,10.0,0.895,4052.15,0.024678,100
siftsmall,PiP,8,200,100,20,,90.0,10.0,0.895,3797.15,0.026336,100
siftsmall,PiP,8,200,200,20,,90.0,10.0,0.895,3826.94,0.026131,100
siftsmall,PiP,8,200,50,10,,90.0,20.0,0.969,3816.63,0.026201,100
siftsmall,PiP,8,200,100,10,,90.0,20.0,0.969,3728.2,0.026823,100
siftsmall,PiP,8,200,200,10,,90.0,20.0,0.969,3145.79,0.031788,100
siftsmall,PiP,8,200,50,20,,90.0,20.0,0.9535,2463.57,0.040592,100
siftsmall,PiP,8,200,100,20,,90.0,20.0,0.9535,2473.75,0.040424,100
siftsmall,PiP,8,200,200,20,,90.0,20.0,0.9535,2574.27,0.038846,100
siftsmall,PiP,8,200,50,10,,95.0,5.0,0.917,6056.98,0.01651,100
siftsmall,PiP,8,200,100,10,,95.0,5.0,0.917,5695.57,0.017558,100
siftsmall,PiP,8,200,200,10,,95.0,5.0,0.917,5693.34,0.017564,100
siftsmall,PiP,8,200,50,20,,95.0,5.0,0.8405,4593.34,0.021771,100
siftsmall,PiP,8,200,100,20,,95.0,5.0,0.8405,4560.88,0.021926,100
siftsmall,PiP,8,200,200,20,,95.0,5.0,0.8405,4654.49,0.021485,100
siftsmall,PiP,8,200,50,10,,95.0,10.0,0.959,4077.5,0.024525,100
siftsmall,PiP,8,200,100,10,,95.0,10.0,0.959,4179.14,0.023928,100
siftsmall,PiP,8,200,200,10,,95.0,10.0,0.959,4067.96,0.024582,100
siftsmall,PiP,8,200,50,20,,95.0,10.0,0.919,3602.34,0.02776,100
siftsmall,PiP,8,200,100,20,,95.0,10.0,0.919,3476.17,0.028767,100
siftsmall,PiP,8,200,200,20,,95.0,10.0,0.919,3372.8,0.029649,100
siftsmall,PiP,8,200,50,10,,95.0,20.0,0.986,3034.29,0.032957,100
siftsmall,PiP,8,200,100,10,,95.0,20.0,0.987,2861.99,0.034941,100
siftsmall,PiP,8,200,200,10,,95.0,20.0,0.987,2798.11,0.035738,100
siftsmall,PiP,8,200,50,20,,95.0,20.0,0.9655,2477.0,0.040371,100
siftsmall,PiP,8,200,100,20,,95.0,20.0,0.9655,2408.18,0.041525,100
siftsmall,PiP,8,200,200,20,,95.0,20.0,0.9655,2357.35,0.04242,100
siftsmall,PiP,8,200,50,10,,99.0,5.0,0.917,6039.72,0.016557,100
siftsmall,PiP,8,200,100,10,,99.0,5.0,0.917,5440.76,0.01838,100
siftsmall,PiP,8,200,200,10,,99.0,5.0,0.917,5788.86,0.017275,100
siftsmall,PiP,8,200,50,20,,99.0,5.0,0.919,3619.56,0.027628,100
siftsmall,PiP,8,200,100,20,,99.0,5.0,0.919,3587.29,0.027876,100
siftsmall,PiP,8,200,200,20,,99.0,5.0,0.919,3483.14,0.02871,100
siftsmall,PiP,8,200,50,10,,99.0,10.0,0.959,4166.7,0.024,100
siftsmall,PiP,8,200,100,10,,99.0,10.0,0.959,3996.7,0.025021,100
siftsmall,PiP,8,200,200,10,,99.0,10.0,0.959,3910.59,0.025572,100
siftsmall,PiP,8,200,50,20,,99.0,10.0,0.9685,2393.84,0.041774,100
siftsmall,PiP,8,200,100,20,,99.0,10.0,0.9685,2277.73,0.043903,100
siftsmall,PiP,8,200,200,20,,99.0,10.0,0.9685,2251.24,0.04442,100
siftsmall,PiP,8,200,50,10,,99.0,20.0,0.986,2857.09,0.035001,100
siftsmall,PiP,8,200,100,10,,99.0,20.0,0.987,2287.32,0.043719,100
siftsmall,PiP,8,200,200,10,,99.0,20.0,0.987,2695.7,0.037096,100
siftsmall,PiP,8,200,50,20,,99.0,20.0,0.985,1610.18,0.062105,100
siftsmall,PiP,8,200,100,20,,99.0,20.0,0.9905,1144.05,0.087409,100
siftsmall,PiP,8,200,200,20,,99.0,20.0,0.9905,1319.35,0.075795,100
siftsmall,Ada-ef,8,200,0,10,0.8,,,1.0,656.71,0.152275,100
siftsmall,Ada-ef,8,200,0,10,0.85,,,1.0,629.72,0.158802,100
siftsmall,Ada-ef,8,200,0,10,0.9,,,0.993,3217.98,0.031075,100
siftsmall,Ada-ef,8,200,0,10,0.95,,,1.0,571.94,0.174844,100
siftsmall,Ada-ef,8,200,0,20,0.8,,,1.0,550.04,0.181805,100
siftsmall,Ada-ef,8,200,0,20,0.85,,,1.0,517.39,0.193276,100
siftsmall,Ada-ef,8,200,0,20,0.9,,,0.9885,2748.41,0.036385,100
siftsmall,Ada-ef,8,200,0,20,0.95,,,1.0,586.76,0.170428,100
siftsmall,Baseline-HNSW,16,128,10,10,,,,0.862,21094.04,0.004741,100
siftsmall,Baseline-HNSW,16,128,20,10,,,,0.922,21111.01,0.004737,100
siftsmall,Baseline-HNSW,16,128,50,10,,,,0.922,17298.75,0.005781,100
siftsmall,Baseline-HNSW,16,128,100,10,,,,0.922,16454.21,0.006077,100
siftsmall,Baseline-HNSW,16,128,150,10,,,,0.922,19931.32,0.005017,100
siftsmall,Baseline-HNSW,16,128,200,10,,,,0.922,21870.98,0.004572,100
siftsmall,Baseline-HNSW,16,128,10,20,,,,0.5345,22112.52,0.004522,100
siftsmall,Baseline-HNSW,16,128,20,20,,,,0.956,14267.35,0.007009,100
siftsmall,Baseline-HNSW,16,128,50,20,,,,0.971,14581.01,0.006858,100
siftsmall,Baseline-HNSW,16,128,100,20,,,,0.971,13182.13,0.007586,100
siftsmall,Baseline-HNSW,16,128,150,20,,,,0.971,14800.23,0.006757,100
siftsmall,Baseline-HNSW,16,128,200,20,,,,0.971,12440.9,0.008038,100
siftsmall,DARTH,16,128,50,10,0.8,,,0.922,21330.98,0.004688,100
siftsmall,DARTH,16,128,50,10,0.85,,,0.922,26829.29,0.003727,100
siftsmall,DARTH,16,128,50,10,0.9,,,0.922,22400.57,0.004464,100
siftsmall,DARTH,16,128,50,10,0.95,,,0.922,18738.7,0.005337,100
siftsmall,DARTH,16,128,100,10,0.8,,,0.922,24725.21,0.004044,100
siftsmall,DARTH,16,128,100,10,0.85,,,0.922,22653.03,0.004414,100
siftsmall,DARTH,16,128,100,10,0.9,,,0.922,22363.24,0.004472,100
siftsmall,DARTH,16,128,100,10,0.95,,,0.922,23205.08,0.004309,100
siftsmall,DARTH,16,128,200,10,0.8,,,0.922,18245.82,0.005481,100
siftsmall,DARTH,16,128,200,10,0.85,,,0.922,28754.0,0.003478,100
siftsmall,DARTH,16,128,200,10,0.9,,,0.922,27338.04,0.003658,100
siftsmall,DARTH,16,128,200,10,0.95,,,0.922,23041.54,0.00434,100
siftsmall,DARTH,16,128,50,20,0.8,,,0.971,16129.91,0.0062,100
siftsmall,DARTH,16,128,50,20,0.85,,,0.971,15666.16,0.006383,100
