dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
siftsmall,0,8,128,200,10,0.9,0.8,0.8,False,276.7815,508.22238
siftsmall,1,8,128,200,10,0.9,0.9,0.9,False,256.8521,507.9429
siftsmall,2,8,128,200,10,0.9,0.9,0.9,False,206.73654,508.18893
siftsmall,3,8,128,200,10,0.9,0.8,0.8,False,215.17667,509.11884
siftsmall,4,8,128,200,10,0.9,0.9,0.9,False,250.50948,509.22195
siftsmall,5,8,128,200,10,0.9,0.8,0.8,False,275.15088,507.28986
siftsmall,6,8,128,200,10,0.9,1.0,1.0,False,246.60901,507.91928
siftsmall,7,8,128,200,10,0.9,1.0,1.0,False,173.94827,509.6332
siftsmall,8,8,128,200,10,0.9,0.6,0.6,False,248.47334,508.87817
siftsmall,9,8,128,200,10,0.9,0.7,0.7,False,250.014,508.04922
siftsmall,10,8,128,200,10,0.9,0.9,0.9,False,293.88263,508.18698
siftsmall,11,8,128,200,10,0.9,1.0,1.0,False,172.16272,508.7858
siftsmall,12,8,128,200,10,0.9,0.9,0.9,False,238.54979,509.0511
siftsmall,13,8,128,200,10,0.9,0.8,0.8,False,244.67734,509.5135
siftsmall,14,8,128,200,10,0.9,0.9,0.9,False,273.31668,507.4032
siftsmall,15,8,128,200,10,0.9,0.6,0.6,False,253.68288,508.78973
siftsmall,16,8,128,200,10,0.9,0.8,0.8,False,248.19952,507.47018
siftsmall,17,8,128,200,10,0.9,0.9,0.9,False,254.63504,508.04034
siftsmall,18,8,128,200,10,0.9,0.7,0.7,False,266.8895,508.7357
siftsmall,19,8,128,200,10,0.9,1.0,1.0,False,224.75098,508.45746
siftsmall,20,8,128,200,10,0.9,0.9,0.9,False,192.98445,509.3005
siftsmall,21,8,128,200,10,0.9,1.0,1.0,False,80.845535,510.24307
siftsmall,22,8,128,200,10,0.9,1.0,1.0,False,173.05202,508.70816
siftsmall,23,8,128,200,10,0.9,0.8,0.8,False,253.94093,509.71658
siftsmall,24,8,128,200,10,0.9,1.0,1.0,False,154.2271,508.49188
siftsmall,25,8,128,200,10,0.9,0.7,0.7,False,271.61002,508.6659
siftsmall,26,8,128,200,10,0.9,1.0,1.0,False,183.4421,509.33878
siftsmall,27,8,128,200,10,0.9,1.0,1.0,False,175.51639,508.09644
siftsmall,28,8,128,200,10,0.9,0.9,0.9,False,224.85995,507.9931
siftsmall,29,8,128,200,10,0.9,1.0,1.0,False,125.379425,509.43497
siftsmall,30,8,128,200,10,0.9,1.0,1.0,False,265.37708,508.52237
siftsmall,31,8,128,200,10,0.9,0.9,0.9,False,109.19249,509.40454
siftsmall,32,8,128,200,10,0.9,0.8,0.8,False,187.56332,509.0884
siftsmall,33,8,128,200,10,0.9,1.0,1.0,False,328.27884,509.29462
